Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Molecular Weight	Chromosome	PFam ID	Protein Length	Ortholog count	Paralog count	PFam Description	CDD ID	Gene3D ID	Hamap ID	NCBIfam ID	PANTHER ID	PRINTS ID	SFLD ID	CDD Description	Gene3D Description	Hamap Description	NCBIfam Description	PANTHER Description	PRINTS Description	SFLD Description	PirSF ID	PirSF Description	Prositefamilies ID	Prositefamilies Description	Smart ID	Smart Description	Superfamily ID	Superfamily Description	InterPro ID	InterPro Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_001008	B9J08_001008-t37_1	Candida auris strain B8441	PEKT02000002:1,110,653..1,113,136(-)	hypothetical protein	91656	Not Assigned	N/A	827	20	0	N/A	N/A	N/A	N/A	N/A	N/A	PR02082	N/A	N/A	N/A	N/A	N/A	N/A	GLC7-interacting protein 4 signature	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR026241	GLC7-interacting protein 4 signature	GO:0005737;GO:0005737;GO:0005737	cytoplasm;cytoplasm;cytoplasm	GO:0008157;GO:0008157;GO:0008157;GO:0019888;GO:0019888;GO:0019888	protein phosphatase 1 binding;protein phosphatase 1 binding;protein phosphatase 1 binding;protein phosphatase regulator activity;protein phosphatase regulator activity;protein phosphatase regulator activity	GO:0007059;GO:0007059;GO:0043666;GO:0043666	chromosome segregation;chromosome segregation;obsolete regulation of phosphoprotein phosphatase activity;obsolete regulation of phosphoprotein phosphatase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001009	B9J08_001009-t37_1	Candida auris strain B8441	PEKT02000002:1,113,979..1,114,881(+)	Mis12 protein | domain-containing protein	34310	Not Assigned	PF05859	300	305	0	Mis12 protein	N/A	N/A	N/A	N/A	PTHR14527	N/A	N/A	N/A	N/A	N/A	N/A	PROTEIN MIS12 HOMOLOG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR008685	PROTEIN MIS12 HOMOLOG	GO:0034506;GO:0034506;GO:0000775;GO:0000779;GO:0000779;GO:0000444;GO:0005634;GO:0005634;GO:0005634;GO:0000922;GO:0000922	chromosome, centromeric core domain;chromosome, centromeric core domain;chromosome, centromeric region;condensed chromosome, centromeric region;condensed chromosome, centromeric region;MIS12/MIND type complex;nucleus;nucleus;nucleus;spindle pole;spindle pole	N/A	N/A	GO:0051301;GO:0007059;GO:0007059;GO:0051382;GO:0000278;GO:0000070;GO:0000070;GO:0000070;GO:0034501;GO:0034501	cell division;chromosome segregation;chromosome segregation;kinetochore assembly;mitotic cell cycle;mitotic sister chromatid segregation;mitotic sister chromatid segregation;mitotic sister chromatid segregation;protein localization to kinetochore;protein localization to kinetochore	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001010	B9J08_001010-t37_1	Candida auris strain B8441	PEKT02000002:1,115,294..1,115,536(+)	hypothetical protein	9548	Not Assigned	N/A	80	14	0	N/A	N/A	N/A	N/A	N/A	PTHR39476	N/A	N/A	N/A	N/A	N/A	N/A	NADH:UBIQUINONE OXIDOREDUCTASE 6.6KD SUBUNIT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-	NADH:UBIQUINONE OXIDOREDUCTASE 6.6KD SUBUNIT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001011	B9J08_001011-t37_1	Candida auris strain B8441	PEKT02000002:1,115,911..1,117,296(-)	hypothetical protein	50932	Not Assigned	N/A	461	12	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001012	B9J08_001012-t37_1	Candida auris strain B8441	PEKT02000002:1,119,185..1,120,216(-)	SWIRM domain | domain-containing protein	38967	Not Assigned	PF04433	343	264	0	SWIRM domain	N/A	G3DSA:1.10.10.10	N/A	N/A	PTHR12374	N/A	N/A	N/A	-	N/A	N/A	TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED	N/A	N/A	N/A	N/A	PS50934	SWIRM domain profile.	N/A	N/A	SSF46689	Homeodomain-like	-, IPR007526, IPR009057, IPR036388	TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED	GO:0005634;GO:1990483;GO:0070210	nucleus;obsolete Clr6 histone deacetylase complex I'';Rpd3L-Expanded complex	GO:0003682;GO:0005515;GO:0003713	chromatin binding;protein binding;transcription coactivator activity	GO:0006338;GO:0006357	chromatin remodeling;regulation of transcription by RNA polymerase II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001013	B9J08_001013-t37_1	Candida auris strain B8441	PEKT02000002:1,123,116..1,124,219(+)	Dihydrouridine synthase (Dus) | domain-containing protein	40909	Not Assigned	PF01207	367	2153	3	Dihydrouridine synthase (Dus)	cd02801	G3DSA:3.20.20.70	N/A	N/A	PTHR45936	N/A	N/A	DUS_like_FMN	Aldolase class I	N/A	N/A	TRNA-DIHYDROURIDINE(20) SYNTHASE [NAD(P)+]-LIKE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF51395	FMN-linked oxidoreductases	-, IPR013785, IPR035587, IPR052582	TRNA-DIHYDROURIDINE(20) SYNTHASE [NAD(P)+]-LIKE	GO:0005737	cytoplasm	GO:0050660;GO:0050660;GO:0050660;GO:0017150;GO:0017150;GO:0017150	flavin adenine dinucleotide binding;flavin adenine dinucleotide binding;flavin adenine dinucleotide binding;tRNA dihydrouridine synthase activity;tRNA dihydrouridine synthase activity;tRNA dihydrouridine synthase activity	GO:0002943;GO:0006400;GO:0006400;GO:0008033;GO:0008033;GO:0008033	tRNA dihydrouridine synthesis;tRNA modification;tRNA modification;tRNA processing;tRNA processing;tRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.-.-.- (Oxidoreductases.)
B9J08_001014	B9J08_001014-t37_1	Candida auris strain B8441	PEKT02000002:1,124,494..1,125,153(-)	Tim17/Tim22/Tim23/Pmp24 family | domain-containing protein	23154	Not Assigned	PF02466	219	570	0	Tim17/Tim22/Tim23/Pmp24 family	N/A	N/A	N/A	N/A	PTHR15371	N/A	N/A	N/A	N/A	N/A	N/A	TIM23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-, IPR045238	TIM23	GO:0005744;GO:0005744;GO:0005744	TIM23 mitochondrial import inner membrane translocase complex;TIM23 mitochondrial import inner membrane translocase complex;TIM23 mitochondrial import inner membrane translocase complex	GO:0030943;GO:0030943;GO:0008320;GO:0008320;GO:0008320;GO:0022857	mitochondrion targeting sequence binding;mitochondrion targeting sequence binding;protein transmembrane transporter activity;protein transmembrane transporter activity;protein transmembrane transporter activity;transmembrane transporter activity	GO:0030150;GO:0030150;GO:0030150	protein import into mitochondrial matrix;protein import into mitochondrial matrix;protein import into mitochondrial matrix	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001015	B9J08_001015-t37_1	Candida auris strain B8441	PEKT02000002:1,126,151..1,127,776(-)	Sugar (and other) transporter | domain-containing protein	60341	Not Assigned	PF00083	541	15812	28	Sugar (and other) transporter	N/A	G3DSA:1.20.1250.20	N/A	TIGR00879	PTHR48022	PR00171	N/A	N/A	MFS general substrate transporter like domains	N/A	sugar porter family MFS transporter	PLASTIDIC GLUCOSE TRANSPORTER 4	Sugar transporter signature	N/A	N/A	N/A	PS50850	Major facilitator superfamily (MFS) profile.	N/A	N/A	SSF103473	MFS general substrate transporter	-, IPR003663, IPR005828, IPR020846, IPR036259, IPR050360	Sugar transporter signature	GO:0016020;GO:0016020;GO:0016020	membrane;membrane;membrane	GO:0005351;GO:0022857;GO:0022857;GO:0022857	carbohydrate:proton symporter activity;transmembrane transporter activity;transmembrane transporter activity;transmembrane transporter activity	GO:0008643;GO:0055085;GO:0055085;GO:0055085	carbohydrate transport;transmembrane transport;transmembrane transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3.1.74 (2-alkenal reductase [NAD(P)(+)])
B9J08_001016	B9J08_001016-t37_1	Candida auris strain B8441	PEKT02000002:1,129,674..1,131,416(-)	Sugar (and other) transporter | domain-containing protein	64375	Not Assigned	PF00083	580	15812	28	Sugar (and other) transporter	N/A	G3DSA:1.20.1250.20	N/A	TIGR00879	PTHR48022	PR00171	N/A	N/A	MFS general substrate transporter like domains	N/A	sugar porter family MFS transporter	PLASTIDIC GLUCOSE TRANSPORTER 4	Sugar transporter signature	N/A	N/A	N/A	PS50850	Major facilitator superfamily (MFS) profile.	N/A	N/A	SSF103473	MFS general substrate transporter	-, IPR003663, IPR005828, IPR020846, IPR036259, IPR050360	Sugar transporter signature	GO:0016020;GO:0016020;GO:0016020	membrane;membrane;membrane	GO:0005351;GO:0022857;GO:0022857;GO:0022857	carbohydrate:proton symporter activity;transmembrane transporter activity;transmembrane transporter activity;transmembrane transporter activity	GO:0008643;GO:0055085;GO:0055085;GO:0055085	carbohydrate transport;transmembrane transport;transmembrane transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3.1.74 (2-alkenal reductase [NAD(P)(+)])
B9J08_001017	B9J08_001017-t37_1	Candida auris strain B8441	PEKT02000002:1,132,377..1,134,035(-)	Sugar (and other) transporter | domain-containing protein	61687	Not Assigned	PF00083	552	15812	28	Sugar (and other) transporter	N/A	G3DSA:1.20.1250.20	N/A	TIGR00879	PTHR48022	PR00171	N/A	N/A	MFS general substrate transporter like domains	N/A	sugar porter family MFS transporter	PLASTIDIC GLUCOSE TRANSPORTER 4	Sugar transporter signature	N/A	N/A	N/A	PS50850	Major facilitator superfamily (MFS) profile.	N/A	N/A	SSF103473	MFS general substrate transporter	-, IPR003663, IPR005828, IPR020846, IPR036259, IPR050360	Sugar transporter signature	GO:0016020;GO:0016020;GO:0016020	membrane;membrane;membrane	GO:0005351;GO:0022857;GO:0022857;GO:0022857	carbohydrate:proton symporter activity;transmembrane transporter activity;transmembrane transporter activity;transmembrane transporter activity	GO:0008643;GO:0055085;GO:0055085;GO:0055085	carbohydrate transport;transmembrane transport;transmembrane transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.3.1.74 (2-alkenal reductase [NAD(P)(+)])
B9J08_001018	B9J08_001018-t37_1	Candida auris strain B8441	PEKT02000002:1,136,250..1,143,898(+)	acetyl-CoA carboxylase	253555	Not Assigned	PF00289, PF00364, PF01039, PF02785, PF02786, PF08326, PF21385	2271	814	0	Carboxyl transferase domain	cd06850	G3DSA:2.40.460.10, G3DSA:2.40.50.100, G3DSA:3.30.1490.20, G3DSA:3.30.470.20, G3DSA:3.40.50.20, G3DSA:3.90.1770.10, G3DSA:3.90.226.10	N/A	N/A	PTHR45728	N/A	N/A	biotinyl_domain	Biotin dependent carboxylase carboxyltransferase	N/A	N/A	ACETYL-COA CARBOXYLASE, ISOFORM A	N/A	N/A	N/A	N/A	PS50968, PS50975, PS50979, PS50980, PS50989	Biotinyl/lipoyl domain profile.	SM00878	Biotin_carb_C_2	SSF51230, SSF51246, SSF52096, SSF52440, SSF56059	Single hybrid motif	-, IPR000089, IPR005479, IPR005481, IPR005482, IPR011053, IPR011054, IPR011761, IPR011762, IPR011763, IPR011764, IPR013537, IPR013815, IPR016185, IPR029045, IPR034733, IPR049074, IPR049076	Single hybrid motif	GO:0005789;GO:0005789;GO:0005739	endoplasmic reticulum membrane;endoplasmic reticulum membrane;mitochondrion	GO:0003989;GO:0003989;GO:0003989;GO:0005524;GO:0005524;GO:0005524;GO:0004075;GO:0004075;GO:0004075;GO:0016874;GO:0046872	acetyl-CoA carboxylase activity;acetyl-CoA carboxylase activity;acetyl-CoA carboxylase activity;ATP binding;ATP binding;ATP binding;biotin carboxylase activity;biotin carboxylase activity;biotin carboxylase activity;ligase activity;metal ion binding	GO:0006633;GO:0042759;GO:0042759;GO:2001295;GO:0006606;GO:0006606	fatty acid biosynthetic process;long-chain fatty acid biosynthetic process;long-chain fatty acid biosynthetic process;malonyl-CoA biosynthetic process;protein import into nucleus;protein import into nucleus	N/A	N/A	N/A	N/A	N/A	N/A	6.4.1.2 (acetyl-CoA carboxylase)	N/A
B9J08_001019	B9J08_001019-t37_1	Candida auris strain B8441	PEKT02000002:1,144,065..1,145,303(+)	Peptidase inhibitor I9 | Subtilase family | domain-containing protein	43761	Not Assigned	PF00082, PF05922	412	1636	3	Subtilase family	cd04077	G3DSA:3.40.50.200	N/A	N/A	PTHR43806	PR00723	N/A	Peptidases_S8_PCSK9_ProteinaseK_like	Peptidase S8/S53 domain	N/A	N/A	PEPTIDASE S8	Subtilisin serine protease family (S8) signature	N/A	N/A	N/A	PS51892	Serine proteases, subtilase domain profile.	N/A	N/A	SSF52743, SSF54897	Subtilisin-like	-, IPR000209, IPR010259, IPR015500, IPR034193, IPR036852, IPR050131	Subtilisin serine protease family (S8) signature	GO:0005619;GO:0005619;GO:0005615;GO:0005635;GO:0005635	ascospore wall;ascospore wall;extracellular space;nuclear envelope;nuclear envelope	GO:0042802;GO:0042802;GO:0004252;GO:0004252;GO:0004252;GO:0008236	identical protein binding;identical protein binding;serine-type endopeptidase activity;serine-type endopeptidase activity;serine-type endopeptidase activity;serine-type peptidase activity	GO:0030476;GO:0030476;GO:0043086;GO:0043086;GO:0006508;GO:0006508;GO:0006508	ascospore wall assembly;ascospore wall assembly;negative regulation of catalytic activity;negative regulation of catalytic activity;proteolysis;proteolysis;proteolysis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001020	B9J08_001020-t37_1	Candida auris strain B8441	PEKT02000002:1,145,621..1,151,000(+)	1,3-beta-glucan synthase	203872	Not Assigned	PF02364, PF14288, PF23605	1771	736	1	1,3-beta-glucan synthase subunit FKS1, domain-1	N/A	N/A	N/A	N/A	PTHR12741	N/A	N/A	N/A	N/A	N/A	N/A	LYST-INTERACTING PROTEIN LIP5  DOPAMINE RESPONSIVE PROTEIN DRG-1	N/A	N/A	N/A	N/A	N/A	N/A	SM01205	FKS1_dom1_2	N/A	N/A	-, IPR003440, IPR026899, IPR056261	LYST-INTERACTING PROTEIN LIP5  DOPAMINE RESPONSIVE PROTEIN DRG-1	GO:0000148;GO:0000148;GO:0000148;GO:0016020;GO:0005886	1,3-beta-D-glucan synthase complex;1,3-beta-D-glucan synthase complex;1,3-beta-D-glucan synthase complex;membrane;plasma membrane	GO:0003843;GO:0003843;GO:0003843;GO:0046527	1,3-beta-D-glucan synthase activity;1,3-beta-D-glucan synthase activity;1,3-beta-D-glucan synthase activity;glucosyltransferase activity	GO:0006075;GO:0006075;GO:0006075;GO:0051278	(1->3)-beta-D-glucan biosynthetic process;(1->3)-beta-D-glucan biosynthetic process;(1->3)-beta-D-glucan biosynthetic process;fungal-type cell wall polysaccharide biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.34 (1,3-beta-glucan synthase)	N/A
B9J08_001021	B9J08_001021-t37_1	Candida auris strain B8441	PEKT02000002:1,151,005..1,151,967(-)	Tetratricopeptide repeat | domain-containing protein	36458	Not Assigned	PF13181	320	239	0	Tetratricopeptide repeat	N/A	G3DSA:1.25.40.10	N/A	N/A	PTHR22904	N/A	N/A	N/A	Tetratricopeptide repeat domain	N/A	N/A	TPR REPEAT CONTAINING PROTEIN	N/A	N/A	N/A	N/A	PS50005	TPR repeat profile.	SM00028	tpr_5	SSF48452	TPR-like	-, IPR011990, IPR019734	TPR repeat profile.	GO:0097255;GO:0097255	R2TP complex;R2TP complex	GO:0051879;GO:0005515;GO:0051087;GO:0051087	Hsp90 protein binding;protein binding;protein-folding chaperone binding;protein-folding chaperone binding	GO:0000492;GO:0000492;GO:0006457;GO:0006457	box C/D snoRNP assembly;box C/D snoRNP assembly;protein folding;protein folding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001022	B9J08_001022-t37_1	Candida auris strain B8441	PEKT02000002:1,152,034..1,152,931(+)	RWD domain | Uncharacterized protein family UPF0029 | domain-containing protein	32139	Not Assigned	PF01205, PF05773	283	631	0	Uncharacterized protein family UPF0029	cd23822	G3DSA:3.10.110.10, G3DSA:3.30.230.30	N/A	N/A	PTHR16301	N/A	N/A	RWD_ScYIH1-like	Ubiquitin Conjugating Enzyme	N/A	N/A	IMPACT-RELATED	N/A	N/A	N/A	N/A	PS50908	RWD domain profile.	SM00591	RWD2001b	SSF54211, SSF54495	UBC-like	-, IPR001498, IPR006575, IPR016135, IPR020568, IPR023582, IPR036956	Uncharacterized protein family UPF0029	GO:0005737;GO:0005737	cytoplasm;cytoplasm	GO:0003785;GO:0003785;GO:1905538;GO:1905538;GO:0005515;GO:0004860;GO:0004860;GO:0043022;GO:0043022	actin monomer binding;actin monomer binding;obsolete polysome binding;obsolete polysome binding;protein binding;protein kinase inhibitor activity;protein kinase inhibitor activity;ribosome binding;ribosome binding	GO:0140469;GO:0001933;GO:0001933;GO:0006417;GO:0006446	GCN2-mediated signaling;negative regulation of protein phosphorylation;negative regulation of protein phosphorylation;regulation of translation;regulation of translational initiation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.5.3.1 (arginase)
B9J08_001023	B9J08_001023-t37_1	Candida auris strain B8441	PEKT02000002:1,152,936..1,153,337(-)	M-phase phosphoprotein 6 | domain-containing protein	15213	Not Assigned	PF10175	133	27	0	M-phase phosphoprotein 6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-	M-phase phosphoprotein 6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001024	B9J08_001024-t37_1	Candida auris strain B8441	PEKT02000002:1,153,820..1,156,552(+)	WD domain, G-beta repeat | Dip2/Utp12 Family | domain-containing protein	101642	Not Assigned	PF00400, PF04003	910	725	0	WD domain, G-beta repeat	cd00200	G3DSA:2.130.10.10	N/A	N/A	PTHR19858	PR00320	N/A	WD40	-	N/A	N/A	WD40 REPEAT PROTEIN	G protein beta WD-40 repeat signature	N/A	N/A	N/A	PS50082, PS50294	Trp-Asp (WD) repeats profile.	SM00320	WD40_4	SSF50969, SSF50978	YVTN repeat-like/Quinoprotein amine dehydrogenase	-, IPR001680, IPR007148, IPR011044, IPR015943, IPR020472, IPR027145, IPR036322	YVTN repeat-like/Quinoprotein amine dehydrogenase	GO:0030686;GO:0030686;GO:0005737;GO:0005737;GO:0005730;GO:0005730;GO:0034388;GO:0034388;GO:0034388;GO:0032040;GO:0032040;GO:0032040	90S preribosome;90S preribosome;cytoplasm;cytoplasm;nucleolus;nucleolus;Pwp2p-containing subcomplex of 90S preribosome;Pwp2p-containing subcomplex of 90S preribosome;Pwp2p-containing subcomplex of 90S preribosome;small-subunit processome;small-subunit processome;small-subunit processome	GO:0005515	protein binding	GO:0000480;GO:0000480;GO:0000447;GO:0000447;GO:0000472;GO:0000472;GO:0030010;GO:0030010;GO:0000462;GO:0000462;GO:0000462;GO:0000028;GO:0000920;GO:0000920	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001025	B9J08_001025-t37_1	Candida auris strain B8441	PEKT02000002:1,158,322..1,160,412(+)	Glycogen synthase | domain-containing protein	79391	Not Assigned	PF05693	696	445	0	Glycogen synthase	N/A	G3DSA:3.40.50.2000, G3DSA:6.10.260.10	N/A	N/A	PTHR10176	N/A	N/A	N/A	Glycogen Phosphorylase B;	N/A	N/A	GLYCOGEN SYNTHASE	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	-, IPR008631	UDP-Glycosyltransferase/glycogen phosphorylase	GO:0005737	cytoplasm	GO:0004373;GO:0004373;GO:0004373	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity;alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity;alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity	GO:0005978;GO:0005978;GO:0005978	glycogen biosynthetic process;glycogen biosynthetic process;glycogen biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.11 (glycogen(starch) synthase)	N/A
B9J08_001026	B9J08_001026-t37_1	Candida auris strain B8441	PEKT02000002:1,160,575..1,161,032(+)	LSM domain | domain-containing protein	15718	Not Assigned	PF01423	136	2587	3	LSM domain	cd01723	G3DSA:2.30.30.100	N/A	N/A	PTHR23338	N/A	N/A	LSm4	-	N/A	N/A	SMALL NUCLEAR RIBONUCLEOPROTEIN SM	N/A	N/A	N/A	N/A	PS52002	Sm domain profile.	SM00651	Sm3	SSF50182	Sm-like ribonucleoproteins	-, IPR001163, IPR010920, IPR027141, IPR034101, IPR047575	Sm-like ribonucleoproteins	GO:1990726;GO:1990726;GO:0005730;GO:0005730;GO:0000932;GO:0000932;GO:0005732;GO:0005732;GO:0005681;GO:0046540;GO:0046540;GO:0005688;GO:0005688	Lsm1-7-Pat1 complex;Lsm1-7-Pat1 complex;nucleolus;nucleolus;P-body;P-body;sno(s)RNA-containing ribonucleoprotein complex;sno(s)RNA-containing ribonucleoprotein complex;spliceosomal complex;U4/U6 x U5 tri-snRNP complex;U4/U6 x U5 tri-snRNP complex;U6 snRNP;U6 snRNP	GO:0003723;GO:0003723;GO:0017070;GO:0017070	RNA binding;RNA binding;U6 snRNA binding;U6 snRNA binding	GO:0000398;GO:0000398;GO:0000398;GO:0000956;GO:0033962;GO:0033962;GO:0006396	mRNA splicing, via spliceosome;mRNA splicing, via spliceosome;mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process;P-body assembly;P-body assembly;RNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001027	B9J08_001027-t37_1	Candida auris strain B8441	PEKT02000002:1,162,016..1,163,122(-)	N-terminal C2 in EEIG1 and EHBP1 proteins | domain-containing protein	41151	Not Assigned	PF10358	368	409	0	N-terminal C2 in EEIG1 and EHBP1 proteins	N/A	N/A	N/A	N/A	PTHR21456	N/A	N/A	N/A	N/A	N/A	N/A	FAMILY WITH SEQUENCE SIMILARITY 102	N/A	N/A	N/A	N/A	PS51840	C2 NT-type domain profile.	N/A	N/A	N/A	N/A	IPR019448, IPR039931	N-terminal C2 in EEIG1 and EHBP1 proteins	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001028	B9J08_001028-t37_1	Candida auris strain B8441	PEKT02000002:1,164,423..1,165,610(+)	hypothetical protein	44525	Not Assigned	N/A	395	378	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001029	B9J08_001029-t37_1	Candida auris strain B8441	PEKT02000002:1,165,726..1,166,349(-)	hypothetical protein	22679	Not Assigned	N/A	207	819	0	N/A	N/A	G3DSA:3.30.300.130, G3DSA:6.10.250.1280	N/A	N/A	PTHR12377	N/A	N/A	N/A	-	N/A	N/A	CYTOSOLIC IRON-SULFUR ASSEMBLY COMPONENT 2B-RELATED	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF117916	Fe-S cluster assembly (FSCA) domain-like	-, IPR034904, IPR039796	Fe-S cluster assembly (FSCA) domain-like	GO:0097361;GO:0097361	cytosolic [4Fe-4S] assembly targeting complex;cytosolic [4Fe-4S] assembly targeting complex	N/A	N/A	GO:0016226;GO:0016226;GO:0106035;GO:0097428;GO:0051604	iron-sulfur cluster assembly;iron-sulfur cluster assembly;obsolete protein maturation by [4Fe-4S] cluster transfer;obsolete protein maturation by iron-sulfur cluster transfer;protein maturation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001030	B9J08_001030-t37_1	Candida auris strain B8441	PEKT02000002:1,167,024..1,170,539(+)	Foie gras liver health family 1 | domain-containing protein	133817	Not Assigned	PF11817	1171	429	0	Foie gras liver health family 1	N/A	N/A	N/A	N/A	PTHR14374	N/A	N/A	N/A	N/A	N/A	N/A	FOIE GRAS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-, IPR021773	Foie gras liver health family 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001031	B9J08_001031-t37_1	Candida auris strain B8441	PEKT02000002:1,170,563..1,170,898(-)	FK506-binding protein 1	11780	Not Assigned	PF00254	111	3022	2	FKBP-type peptidyl-prolyl cis-trans isomerase	N/A	G3DSA:3.10.50.40	N/A	N/A	PTHR10516	N/A	N/A	N/A	-	N/A	N/A	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE	N/A	N/A	N/A	N/A	PS50059	FKBP-type peptidyl-prolyl cis-trans isomerase domain profile.	N/A	N/A	SSF54534	FKBP-like	-, IPR001179, IPR046357, IPR050689	Peptidylprolyl isomerase	GO:0005737	cytoplasm	GO:0005527;GO:0005527;GO:0003755;GO:0003755;GO:0003755	macrolide binding;macrolide binding;peptidyl-prolyl cis-trans isomerase activity;peptidyl-prolyl cis-trans isomerase activity;peptidyl-prolyl cis-trans isomerase activity	GO:0006325;GO:0006325;GO:0000747;GO:0000747;GO:0006457;GO:0006457;GO:0000413;GO:1901710;GO:1901710;GO:0031929;GO:0031929	chromatin organization;chromatin organization;conjugation with cellular fusion;conjugation with cellular fusion;protein folding;protein folding;protein peptidyl-prolyl isomerization;regulation of homoserine biosynthetic process;regulation of homoserine biosynthetic process;TOR signaling;TOR signalin	N/A	N/A	N/A	N/A	N/A	N/A	5.2.1.8 (peptidylprolyl isomerase)	N/A
B9J08_001032	B9J08_001032-t37_1	Candida auris strain B8441	PEKT02000002:1,171,600..1,173,444(+)	Arrestin (or S-antigen), N-terminal domain | domain-containing protein	69129	Not Assigned	PF00339	614	277	4	Arrestin (or S-antigen), N-terminal domain	cd22952	G3DSA:2.60.40.640	N/A	N/A	N/A	N/A	N/A	ART10-like	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF81296	E set domains	-, IPR011021, IPR014752, IPR014756	E set domains	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
