Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes
B9J08_001039,B9J08_001039-t37_1,TIGR01456 family HAD hydrolase,N/A,N/A,GO:0016787,hydrolase activity,GO:0008152,metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.8.- (Transferases for other substituted phosphate groups.),,,,,,
B9J08_001045,B9J08_001045-t37_1,DNA-directed RNA polymerase II subunit RPB2,GO:0005665;GO:0010494,"RNA polymerase II, core complex;cytoplasmic stress granule",GO:0003677;GO:0003899;GO:0003723;GO:0001055;GO:0003968;GO:0046872;GO:0032549,DNA binding;DNA-directed 5'-3' RNA polymerase activity;RNA binding;RNA polymerase II activity;RNA-directed 5'-3' RNA polymerase activity;metal ion binding;ribonucleoside binding,GO:0031048;GO:0006366;GO:0006351,"heterochromatin assembly by small RNA;transcription by RNA polymerase II;transcription, DNA-templated",N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.6 (DNA-directed RNA polymerase),2.7.7.6 (DNA-directed RNA polymerase),,,,,,
B9J08_001046,B9J08_001046-t37_1,ribosomal protein L13,GO:0000324;GO:0005762;GO:0005840,fungal-type vacuole;mitochondrial large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.1.2.1 (Glycine hydroxymethyltransferase),,,,,,
B9J08_001047,B9J08_001047-t37_1,DNA-directed RNA polymerase II subunit rpb7,GO:0000932;GO:0005665;GO:0005737;GO:0005634,"P-body;RNA polymerase II, core complex;cytoplasm;nucleus",GO:0003899;GO:0003968;GO:0003676;GO:0003697;GO:0003727;GO:0031369,DNA-directed 5'-3' RNA polymerase activity;RNA-directed 5'-3' RNA polymerase activity;nucleic acid binding;single-stranded DNA binding;single-stranded RNA binding;translation initiation factor binding,GO:0000291;GO:0060213;GO:0045948;GO:0010590;GO:0097394;GO:0006366;GO:0006367;GO:0006351,"nuclear-transcribed mRNA catabolic process, exonucleolytic;positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of translational initiation;regulation of septum digestion after cytokinesis;telomeric repeat-containing RNA transcription by RNA polymerase II;trans",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.6 (DNA-directed RNA polymerase),,,,,,
B9J08_001049,B9J08_001049-t37_1,"arginine-tRNA ligase, cytoplasmic",GO:0005737,cytoplasm,GO:0005524;GO:0004812;GO:0004814;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding,GO:0006420;GO:0006418,arginyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.19 (Arginine--tRNA ligase),2.2.1.2 (Transaldolase);6.1.1.19 (Arginine--tRNA ligase),,,,,,
B9J08_001055,B9J08_001055-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001056,B9J08_001056-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001057,B9J08_001057-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001058,B9J08_001058-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001059,B9J08_001059-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001060,B9J08_001060-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001061,B9J08_001061-t37_1,5S ribosomal RNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001073,B9J08_001073-t37_1,glycine cleavage system T protein,GO:0005737;GO:0005739,cytoplasm;mitochondrion,GO:0004047;GO:0004375;GO:0005515;GO:0008483,aminomethyltransferase activity;glycine dehydrogenase (decarboxylating) activity;protein binding;transaminase activity,GO:0006546;GO:0006544;GO:0006730,glycine catabolic process;glycine metabolic process;one-carbon metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,2.1.2.10 (Aminomethyltransferase),2.1.2.10 (Aminomethyltransferase),,,,,,
B9J08_001081,B9J08_001081-t37_1,60S ribosomal protein L23-B,GO:0005829;GO:0022625;GO:0005634;GO:0005840,cytosol;cytosolic large ribosomal subunit;nucleus;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.1 (Inorganic diphosphatase),,,,,,
B9J08_001085,B9J08_001085-t37_1,26S protease regulatory subunit 4,GO:0005737;GO:0005634;GO:0000502;GO:0005838;GO:0008540,"cytoplasm;nucleus;proteasome complex;proteasome regulatory particle;proteasome regulatory particle, base subcomplex",GO:0005524;GO:0016887;GO:0016787;GO:0000166;GO:0008233;GO:0036402,ATP binding;ATP hydrolysis activity;hydrolase activity;nucleotide binding;peptidase activity;proteasome-activating activity,GO:0034629;GO:0070651;GO:0043171;GO:0045732;GO:0070682;GO:0030163;GO:0006511,cellular protein-containing complex localization;nonfunctional rRNA decay;peptide catabolic process;positive regulation of protein catabolic process;proteasome regulatory particle assembly;protein catabolic process;ubiquitin-dependent protein catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.3 (Deleted entry);3.6.4.3 (Transferred entry: 5.6.1.1);3.6.4.8 (Transferred entry: 5.6.1.5),,,,,,
B9J08_001086,B9J08_001086-t37_1,thioredoxin,N/A,N/A,GO:0009055;GO:0015035,electron transfer activity;protein-disulfide reductase activity,GO:0045454;GO:0006662,cell redox homeostasis;glycerol ether metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.8.-.- (Acting on a sulfur group of donors.);5.3.4.1 (Protein disulfide-isomerase),,,,,,
B9J08_001090,B9J08_001090-t37_1,thioredoxin reductase,GO:0005737;GO:0005829;GO:0005622;GO:0005758,cytoplasm;cytosol;intracellular anatomical structure;mitochondrial intermembrane space,GO:0008198;GO:0016491;GO:0004791,ferrous iron binding;oxidoreductase activity;thioredoxin-disulfide reductase activity,GO:0045454;GO:0098869;GO:0034599;GO:0055114;GO:0019430,cell redox homeostasis;cellular oxidant detoxification;cellular response to oxidative stress;obsolete oxidation-reduction process;removal of superoxide radicals,N/A,N/A,N/A,N/A,N/A,N/A,1.8.1.9 (Thioredoxin-disulfide reductase),1.6.4.5 (Transferred entry: 1.8.1.9);1.8.1.9 (Thioredoxin-disulfide reductase);2.7.7.48 (RNA-directed RNA polymerase);4.3.1.9 (Glucosaminate ammonia-lyase),,,,,,
B9J08_001095,B9J08_001095-t37_1,tryptophan-tRNA ligase,GO:0005739,mitochondrion,GO:0005524;GO:0004812;GO:0000166;GO:0004830,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity,GO:0070183;GO:0006418;GO:0006436,mitochondrial tryptophanyl-tRNA aminoacylation;tRNA aminoacylation for protein translation;tryptophanyl-tRNA aminoacylation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.2 (Tryptophan--tRNA ligase),6.1.1.2 (Tryptophan--tRNA ligase),,,,,,
B9J08_001097,B9J08_001097-t37_1,tRNA-Lys,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001098,B9J08_001098-t37_1,"purine nucleoside phosphorylase I, inosine and guanosine-specific",N/A,N/A,GO:0003824;GO:0047724;GO:0070635;GO:0004731,catalytic activity;inosine nucleosidase activity;nicotinamide riboside hydrolase activity;purine-nucleoside phosphorylase activity,GO:0034356;GO:0046115;GO:0006148;GO:0019358;GO:0006139;GO:0009116,NAD biosynthesis via nicotinamide riboside salvage pathway;guanosine catabolic process;inosine catabolic process;nicotinate nucleotide salvage;nucleobase-containing compound metabolic process;nucleoside metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,2.4.2.1 (Purine-nucleoside phosphorylase),2.4.2.1 (Purine-nucleoside phosphorylase),,,,,,
B9J08_001099,B9J08_001099-t37_1,protein transporter SEC13,GO:0030127;GO:0000139;GO:0035859;GO:0005737;GO:0005789;GO:0005643;GO:0031080,COPII vesicle coat;Golgi membrane;Seh1-associated complex;cytoplasm;endoplasmic reticulum membrane;nuclear pore;nuclear pore outer ring,GO:0005515;GO:0005198,protein binding;structural molecule activity,GO:0090114;GO:0051028;GO:0043547;GO:1904263;GO:0045893;GO:0015031;GO:0030433;GO:0016192,"COPII-coated vesicle budding;mRNA transport;positive regulation of GTPase activity;positive regulation of TORC1 signaling;positive regulation of transcription, DNA-templated;protein transport;ubiquitin-dependent ERAD pathway;vesicle-mediated transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3.1.48 (Histone acetyltransferase);3.1.1.47 (1-alkyl-2-acetylglycerophosphocholine esterase),,,,,,
B9J08_001108,B9J08_001108-t37_1,DNA repair protein rhp51,GO:0000775;GO:0000794;GO:0005759;GO:0000228;GO:0005634;GO:0035861,"chromosome, centromeric region;condensed nuclear chromosome;mitochondrial matrix;nuclear chromosome;nucleus;site of double-strand break",GO:0005524;GO:0016887;GO:0008094;GO:0003677;GO:0000150;GO:1905334;GO:0003684;GO:0003690;GO:0000166;GO:0003697,"ATP binding;ATP hydrolysis activity;ATP-dependent activity, acting on DNA;DNA binding;DNA strand exchange activity;Swi5-Sfr1 complex binding;damaged DNA binding;double-stranded DNA binding;nucleotide binding;single-stranded DNA binding",GO:0006259;GO:0006310;GO:0006281;GO:0006302;GO:1990918;GO:0000724;GO:0030491;GO:0036297;GO:0007533;GO:0000709;GO:0000708;GO:0043504;GO:0006312;GO:1990426;GO:0006289;GO:0007131;GO:0042148;GO:0000723;GO:0000722,DNA metabolic process;DNA recombination;DNA repair;double-strand break repair;double-strand break repair involved in meiotic recombination;double-strand break repair via homologous recombination;heteroduplex formation;interstrand cross-link repair;mating type switching;meiotic joint molecule formati,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.11.1 (Non-specific serine/threonine protein kinase);3.6.3.8 (Transferred entry: 7.2.2.10),,,,,,
B9J08_001122,B9J08_001122-t37_1,alanine-tRNA ligase,GO:0005737;GO:0005739,cytoplasm;mitochondrion,GO:0005524;GO:0004813;GO:0004812;GO:0003676;GO:0000166;GO:0000049;GO:0008270,ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding;tRNA binding;zinc ion binding,GO:0006419;GO:0070143;GO:0043039,alanyl-tRNA aminoacylation;mitochondrial alanyl-tRNA aminoacylation;tRNA aminoacylation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.7 (Alanine--tRNA ligase),6.1.1.7 (Alanine--tRNA ligase),,,,,,
B9J08_001135,B9J08_001135-t37_1,deoxyhypusine hydroxylase,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0019135;GO:0046872,deoxyhypusine monooxygenase activity;metal ion binding,GO:0000226;GO:0008612,microtubule cytoskeleton organization;peptidyl-lysine modification to peptidyl-hypusine,N/A,N/A,N/A,N/A,N/A,N/A,1.14.99.29 (Deoxyhypusine monooxygenase),1.14.99.29 (Deoxyhypusine monooxygenase),,,,,,
B9J08_001136,B9J08_001136-t37_1,T-complex protein 1 subunit epsilon,GO:0005832,chaperonin-containing T-complex,GO:0005524;GO:0016887;GO:0051082,ATP binding;ATP hydrolysis activity;unfolded protein binding,GO:0044267;GO:0006457,cellular protein metabolic process;protein folding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001139,B9J08_001139-t37_1,18S rRNA biogenesis protein RCL1,GO:0030686;GO:0005730,90S preribosome;nucleolus,GO:0003824;GO:0004521;GO:0008047,catalytic activity;endoribonuclease activity;enzyme activator activity,GO:0006396;GO:0000480;GO:0000447;GO:0000472;GO:0042254,"RNA processing;endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage to generate m",N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5.1.4 (RNA 3'-terminal-phosphate cyclase (ATP)),,,,,,
B9J08_001143,B9J08_001143-t37_1,ferrochelatase,GO:0005743,mitochondrial inner membrane,GO:0051537;GO:0004325,"2 iron, 2 sulfur cluster binding;ferrochelatase activity",GO:0006783,heme biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,4.99.1.1 (Protoporphyrin ferrochelatase),2.4.1.- (Hexosyltransferases.);4.99.1.1 (Protoporphyrin ferrochelatase),,,,,,
B9J08_001150,B9J08_001150-t37_1,"V-type ATPase, G subunit",GO:0016471;GO:0000221,"vacuolar proton-transporting V-type ATPase complex;vacuolar proton-transporting V-type ATPase, V1 domain",GO:0042626,ATPase-coupled transmembrane transporter activity,GO:1902600,proton transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.3.14 (Transferred entry: 7.1.2.2);3.6.3.6 (Transferred entry: 7.1.2.1),,,,,,
B9J08_001154,B9J08_001154-t37_1,tRNA-Leu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001156,B9J08_001156-t37_1,glutamate-tRNA ligase,GO:0005737;GO:0010494;GO:0017102;GO:0005739,cytoplasm;cytoplasmic stress granule;methionyl glutamyl tRNA synthetase complex;mitochondrion,GO:0005524;GO:0004812;GO:0004818;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding,GO:0006424;GO:0043039;GO:0006418;GO:0006412,glutamyl-tRNA aminoacylation;tRNA aminoacylation;tRNA aminoacylation for protein translation;translation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.17 (Glutamate--tRNA ligase),6.1.1.17 (Glutamate--tRNA ligase);6.1.1.18 (Glutamine--tRNA ligase),,,,,,
B9J08_001170,B9J08_001170-t37_1,protein URE2,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0004602;GO:0004364;GO:0016853;GO:0051219;GO:0005515;GO:0003714,glutathione peroxidase activity;glutathione transferase activity;isomerase activity;phosphoprotein binding;protein binding;transcription corepressor activity,GO:0042994;GO:0006749;GO:0042128;GO:0032447;GO:0006808;GO:0010044,cytoplasmic sequestering of transcription factor;glutathione metabolic process;nitrate assimilation;protein urmylation;regulation of nitrogen utilization;response to aluminum ion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.11.1.- (Peroxidases.);1.11.1.9 (Glutathione peroxidase);1.8.4.- (With a disulfide as acceptor.);2.5.1.18 (Glutathione transferase),,,,,,
B9J08_001176,B9J08_001176-t37_1,phenylalanine-tRNA ligase beta subunit,GO:0005737;GO:0009328,cytoplasm;phenylalanine-tRNA ligase complex,GO:0005524;GO:0003723;GO:0000287;GO:0000166;GO:0004826,ATP binding;RNA binding;magnesium ion binding;nucleotide binding;phenylalanine-tRNA ligase activity,GO:0006432,phenylalanyl-tRNA aminoacylation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.20 (Phenylalanine--tRNA ligase),2.7.1.11 (6-phosphofructokinase);6.1.1.20 (Phenylalanine--tRNA ligase),,,,,,
B9J08_001205,B9J08_001205-t37_1,hydroxyethylthiazole kinase,GO:0005829,cytosol,GO:0005524;GO:0003824;GO:0004417;GO:0046872;GO:0004789,ATP binding;catalytic activity;hydroxyethylthiazole kinase activity;metal ion binding;thiamine-phosphate diphosphorylase activity,GO:0009228;GO:0009229,thiamine biosynthetic process;thiamine diphosphate biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,2.5.1.3 (Thiamine phosphate synthase);2.7.1.50 (Hydroxyethylthiazole kinase),2.5.1.3 (Thiamine phosphate synthase);2.7.1.50 (Hydroxyethylthiazole kinase),,,,,,
B9J08_001207,B9J08_001207-t37_1,"fumarate hydratase, mitochondrial",GO:0005829;GO:0005759;GO:0005634;GO:0045239,cytosol;mitochondrial matrix;nucleus;tricarboxylic acid cycle enzyme complex,GO:0003824;GO:0004333;GO:0016829,catalytic activity;fumarate hydratase activity;lyase activity,GO:0006302;GO:0006106;GO:0006099,double-strand break repair;fumarate metabolic process;tricarboxylic acid cycle,N/A,N/A,N/A,N/A,N/A,N/A,4.2.1.2 (Fumarate hydratase),4.2.1.2 (Fumarate hydratase);4.3.1.1 (Aspartate ammonia-lyase),,,,,,
B9J08_001212,B9J08_001212-t37_1,tRNA-Met,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001227,B9J08_001227-t37_1,glyceraldehyde-3-phosphate dehydrogenase,GO:1990315;GO:0005737;GO:0005829;GO:0009277;GO:0005622;GO:0005811;GO:0005739,Mcs4 RR-MAPKKK complex;cytoplasm;cytosol;fungal-type cell wall;intracellular anatomical structure;lipid droplet;mitochondrion,GO:0051287;GO:0050661;GO:0003723;GO:0004365;GO:1904408;GO:0016620;GO:0140299,"NAD binding;NADP binding;RNA binding;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;melatonin binding;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;small molecule sensor activity",GO:0006915;GO:0034599;GO:0070994;GO:0006006;GO:0006096;GO:0015886;GO:0055114;GO:0032874;GO:0072593,apoptotic process;cellular response to oxidative stress;detection of oxidative stress;glucose metabolic process;glycolytic process;heme transport;obsolete oxidation-reduction process;positive regulation of stress-activated MAPK cascade;reactive oxygen species metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)),1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating));1.2.1.13 (Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating));1.2.1.59 (Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating));2.6.99.- (Transferring other nitrogenous groups.);2.7.1.105 (6-phosp,,,,,,
B9J08_001233,B9J08_001233-t37_1,tRNA-Val,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001238,B9J08_001238-t37_1,thymidylate kinase,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0005524;GO:0004550;GO:0004798;GO:0009041,ATP binding;nucleoside diphosphate kinase activity;thymidylate kinase activity;uridylate kinase activity,GO:0006233;GO:0006235;GO:0006227;GO:0006165,dTDP biosynthetic process;dTTP biosynthetic process;dUDP biosynthetic process;nucleoside diphosphate phosphorylation,N/A,N/A,N/A,N/A,N/A,N/A,2.7.4.9 (dTMP kinase),2.7.4.9 (dTMP kinase),,,,,,
B9J08_001243,B9J08_001243-t37_1,eukaryotic translation initiation factor 4E,GO:0005737;GO:0010494;GO:0016281;GO:0005634,cytoplasm;cytoplasmic stress granule;eukaryotic translation initiation factor 4F complex;nucleus,GO:0003723;GO:0098808;GO:0032266;GO:0003743,RNA binding;mRNA cap binding;phosphatidylinositol-3-phosphate binding;translation initiation factor activity,GO:0000184;GO:1901195;GO:0051726;GO:0006413,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;positive regulation of formation of translation preinitiation complex;regulation of cell cycle;translational initiation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4.21.59 (Tryptase),,,,,,
B9J08_001250,B9J08_001250-t37_1,"ATP synthase F1, epsilon subunit",GO:0005756;GO:0045261,"mitochondrial proton-transporting ATP synthase, central stalk;proton-transporting ATP synthase complex, catalytic core F(1)",GO:0016887;GO:0046933;GO:0046961,"ATP hydrolysis activity;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATPase activity, rotational mechanism",GO:0015986,ATP synthesis coupled proton transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.3.14 (Transferred entry: 7.1.2.2),,,,,,
B9J08_001254,B9J08_001254-t37_1,calcium/proton exchanger,GO:0005789;GO:0000324;GO:0000329;GO:0016021;GO:1990816,endoplasmic reticulum membrane;fungal-type vacuole;fungal-type vacuole membrane;integral component of membrane;vacuole-mitochondrion membrane contact site,GO:0015369;GO:0015386;GO:0015385,calcium:proton antiporter activity;potassium:proton antiporter activity;sodium:proton antiporter activity,GO:0006813;GO:1902600;GO:0006814;GO:0055085,potassium ion transport;proton transmembrane transport;sodium ion transport;transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001255,B9J08_001255-t37_1,alpha-glucosidase,N/A,N/A,GO:0003824;GO:0043169;GO:0044653;GO:0032450;GO:0004574;GO:0044654;GO:0004575,"catalytic activity;cation binding;dextrin alpha-glucosidase activity;maltose alpha-glucosidase activity;oligo-1,6-glucosidase activity;starch alpha-glucosidase activity;sucrose alpha-glucosidase activity",GO:0005975;GO:0046352,carbohydrate metabolic process;disaccharide catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2.4.1.25 (4-alpha-glucanotransferase);2.8.1.12 (Molybdopterin synthase);3.2.1.1 (Alpha-amylase);3.2.1.10 (Oligo-1,6-glucosidase);3.2.1.20 (Alpha-glucosidase);6.1.1.5 (Isoleucine--tRNA ligase)",,,,,,
B9J08_001256,B9J08_001256-t37_1,DNA-directed RNA polymerase II subunit RPB1,GO:0005665;GO:0010494;GO:0005634,"RNA polymerase II, core complex;cytoplasmic stress granule;nucleus",GO:0003677;GO:0003899;GO:0001055;GO:0003968;GO:0046872,DNA binding;DNA-directed 5'-3' RNA polymerase activity;RNA polymerase II activity;RNA-directed 5'-3' RNA polymerase activity;metal ion binding,GO:0006366;GO:0006351;GO:0019985,"transcription by RNA polymerase II;transcription, DNA-templated;translesion synthesis",N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.6 (DNA-directed RNA polymerase),2.7.7.48 (RNA-directed RNA polymerase);2.7.7.6 (DNA-directed RNA polymerase);3.5.1.16 (Acetylornithine deacetylase),,,,,,
B9J08_001258,B9J08_001258-t37_1,replication factor C subunit 4,GO:0031390;GO:0005663;GO:0031391;GO:0031389;GO:0005829;GO:0005634,Ctf18 RFC-like complex;DNA replication factor C complex;Elg1 RFC-like complex;Rad17 RFC-like complex;cytosol;nucleus,GO:0005524;GO:0003677;GO:0003689;GO:0000166,ATP binding;DNA binding;DNA clamp loader activity;nucleotide binding,GO:0006260;GO:0006271;GO:0070914;GO:0006272;GO:0007062,DNA replication;DNA strand elongation involved in DNA replication;UV-damage excision repair;leading strand elongation;sister chromatid cohesion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.-.- (Transferring phosphorus-containing groups.);2.7.7.7 (DNA-directed DNA polymerase);6.3.2.3 (Glutathione synthase),,,,,,
B9J08_001264,B9J08_001264-t37_1,"cytochrome c oxidase assembly protein COX16, mitochondrial",GO:0016021;GO:0005743;GO:0031966,integral component of membrane;mitochondrial inner membrane;mitochondrial membrane,N/A,N/A,GO:0033617,mitochondrial cytochrome c oxidase assembly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001266,B9J08_001266-t37_1,diphosphomevalonate decarboxylase,GO:0005829,cytosol,GO:0005524;GO:0016831;GO:0004163,ATP binding;carboxy-lyase activity;diphosphomevalonate decarboxylase activity,GO:0019287;GO:0008299;GO:0016126,"isopentenyl diphosphate biosynthetic process, mevalonate pathway;isoprenoid biosynthetic process;sterol biosynthetic process",N/A,N/A,N/A,N/A,N/A,N/A,4.1.1.33 (Diphosphomevalonate decarboxylase),4.1.1.33 (Diphosphomevalonate decarboxylase);5.3.3.2 (Isopentenyl-diphosphate Delta-isomerase),,,,,,
B9J08_001271,B9J08_001271-t37_1,"T-complex protein 1, theta subunit",GO:0005832;GO:0005737,chaperonin-containing T-complex;cytoplasm,GO:0005524;GO:0016887;GO:0051082,ATP binding;ATP hydrolysis activity;unfolded protein binding,GO:0044267;GO:0006457,cellular protein metabolic process;protein folding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001277,B9J08_001277-t37_1,2-isopropylmalate synthase,GO:0005737;GO:0005739,cytoplasm;mitochondrion,GO:0003852;GO:0046912;GO:0003824,"2-isopropylmalate synthase activity;acyltransferase, acyl groups converted into alkyl on transfer;catalytic activity",GO:0019752;GO:0009098,carboxylic acid metabolic process;leucine biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,2.3.3.13 (2-isopropylmalate synthase),2.3.1.182 ((R)-citramalate synthase);2.3.3.13 (2-isopropylmalate synthase),,,,,,
B9J08_001278,B9J08_001278-t37_1,60S ribosomal protein L16-B,GO:0022625;GO:0015934;GO:0005840,cytosolic large ribosomal subunit;large ribosomal subunit;ribosome,GO:0003723;GO:0003735,RNA binding;structural constituent of ribosome,GO:0006412,translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_001281,B9J08_001281-t37_1,ubiquinone biosynthesis monooxygenase COQ6,GO:0031314;GO:0005743;GO:0005739,extrinsic component of mitochondrial inner membrane;mitochondrial inner membrane;mitochondrion,GO:0071949;GO:0050660;GO:0004497;GO:0016709;GO:0016712,"FAD binding;flavin adenine dinucleotide binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;oxidoreductase activity, acting on paired donors, with incorpora",GO:0055114;GO:0006744,obsolete oxidation-reduction process;ubiquinone biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,"1.14.13.- (With NADH or NADPH as one donor, and incorporation of one atom of oxygen.)","1.14.13.- (With NADH or NADPH as one donor, and incorporation of one atom of oxygen.);1.14.13.240 (2-polyprenylphenol 6-hydroxylase);1.14.99.60 (3-demethoxyubiquinol 3-hydroxylase);3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds.)",,,,,,
B9J08_001293,B9J08_001293-t37_1,OPT family small oligopeptide transporter,GO:0016021,integral component of membrane,N/A,N/A,GO:0015031;GO:0055085,protein transport;transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
