Beta FungiDB ID,Beta FungiDB Name
B9J08_001670,Class II Aldolase and Adducin N-terminal domain | domain-containing protein
B9J08_001671,LSM domain | domain-containing protein
B9J08_001672,Amino acid permease | domain-containing protein
B9J08_001673,Amino acid permease | domain-containing protein
B9J08_001674,"snoRNA binding domain, fibrillarin | NOP5NT (NUC127) domain | domain-containing protein"
B9J08_001675,DNA helicase
B9J08_001676,Sel1 repeat | domain-containing protein
B9J08_001677,V-type ATPase 116kDa subunit family | domain-containing protein
B9J08_001678,"Centromere DNA-binding protein complex CBF3 subunit, domain 2 | domain-containing protein"
B9J08_001679,Helix-loop-helix DNA-binding domain | domain-containing protein
B9J08_001680,unspecified product
B9J08_001681,Origin recognition complex (ORC) subunit 3 N-terminus | Origin recognition complex winged helix C-terminal | domain-containing protein
B9J08_001682,Diacylglycerol acyltransferase | domain-containing protein
B9J08_001683,unspecified product
B9J08_001684,Phosphorylase superfamily | domain-containing protein
B9J08_001685,Complex I intermediate-associated protein 30 (CIA30) | domain-containing protein
B9J08_001686,S4 domain | RS4NT (NUC023) domain | Ribosomal family S4e | KOW motif | 40S ribosomal protein S4 C-terminus | domain-containing protein
B9J08_001687,IMP-specific 5'-nucleotidase | domain-containing protein
B9J08_001688,short chain dehydrogenase | domain-containing protein
B9J08_001689,"WD domain, G-beta repeat | domain-containing protein"
B9J08_001690,"Essential protein Yae1, N terminal | domain-containing protein"
B9J08_001691,GYF domain | domain-containing protein
B9J08_001692,"Origin recognition complex (ORC) subunit 5 C-terminus | AAA ATPase domain | ORC5, lid domain | domain-containing protein"
B9J08_001693,DNA-directed DNA polymerase
B9J08_001694,YIF1 | domain-containing protein
B9J08_001695,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
B9J08_001696,unspecified product
B9J08_001697,Protein phosphatase 2C | domain-containing protein
B9J08_001698,"beta-1,4-mannooligosaccharide phosphorylase | domain-containing protein"
B9J08_001699,unspecified product
B9J08_001700,unspecified product
B9J08_001701,"ATP synthase alpha/beta family, beta-barrel domain | ATP synthase alpha/beta family, nucleotide-binding domain | C-terminal domain of V and A type ATP synthase | domain-containing protein"
B9J08_001702,Aconitase family (aconitate hydratase) | Aconitase C-terminal domain | domain-containing protein
B9J08_001703,RasGEF N-terminal motif | RasGEF domain | domain-containing protein
B9J08_001704,AAA domain | AAA domain | domain-containing protein
B9J08_001705,Phosphatidylinositol-glycan biosynthesis class S protein | domain-containing protein
B9J08_001706,Pre-PUA-like domain | eIF2D winged helix domain | Translation initiation factor SUI1 | domain-containing protein
B9J08_001707,Cyclic nucleotide-binding domain | F-box domain | Leucine Rich repeat | domain-containing protein
B9J08_001708,Ribosomal protein L1p/L10e family | domain-containing protein
B9J08_001709,RhoGAP domain | domain-containing protein
B9J08_001710,"Anaphase-promoting complex subunit 4 WD40 domain | Anaphase-promoting complex, cyclosome, subunit 4 | domain-containing protein"
B9J08_001711,Genetic interactor of prohibitin 5 | domain-containing protein
B9J08_001712,"Gaa1-like, GPI transamidase component | domain-containing protein"
B9J08_001713,Aminotransferase class I and II | domain-containing protein
B9J08_001714,unspecified product
B9J08_001715,uridine/cytidine kinase
B9J08_001716,"Helicase associated domain (HA2), ratchet-like | Helicase conserved C-terminal domain | Helicase associated domain (HA2), winged-helix | DEAD/DEAH box helicase | Oligonucleotide/oligosaccharide-binding (OB)-fold | domain-containing protein"
B9J08_001717,GATA zinc finger | domain-containing protein
B9J08_001718,Leucine rich repeat | domain-containing protein
B9J08_001719,unspecified product
B9J08_001720,Fungal specific transcription factor domain | domain-containing protein
B9J08_001721,CoA binding domain | domain-containing protein
B9J08_001722,Autophagy-related protein 101 | domain-containing protein
B9J08_001723,Peptidyl-tRNA hydrolase | domain-containing protein
B9J08_001724,ABC transporter | ABC transporter transmembrane region 2 | domain-containing protein
B9J08_001725,unspecified product
B9J08_001726,Protein kinase domain | domain-containing protein
B9J08_001727,Integral peroxisomal membrane peroxin | domain-containing protein
B9J08_001728,Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC) | Endoplasmic reticulum vesicle transporter | domain-containing protein
B9J08_001729,Fungal specific transcription factor domain | domain-containing protein
B9J08_001730,AAA domain | SEN1 N terminal | Helicase SEN1 beta-barrel domain | AAA domain | domain-containing protein
B9J08_001731,unspecified product
B9J08_001732,EF-hand domain pair | domain-containing protein
B9J08_001733,short chain dehydrogenase | domain-containing protein
B9J08_001734,RGF3 winged helix domain | CNH domain | Pleckstrin homology domain | domain-containing protein
B9J08_001735,SHNi-TPR | domain-containing protein
B9J08_001736,Ribosome-assembly protein 3 | domain-containing protein
B9J08_001737,"Permease for cytosine/purines, uracil, thiamine, allantoin | domain-containing protein"
B9J08_001738,Bul1 N terminus | Bul1 C terminus | domain-containing protein
B9J08_001739,Leucine Rich repeat | domain-containing protein
B9J08_001740,acyl-CoA oxidase
B9J08_001741,acyl-CoA oxidase
B9J08_001742,FYVE zinc finger | domain-containing protein
B9J08_001743,Pal1 cell morphology protein | domain-containing protein
B9J08_001744,"Iron/manganese superoxide dismutases, C-terminal domain | domain-containing protein"
B9J08_001745,RNA helicase
B9J08_001746,unspecified product
B9J08_001747,unspecified product
B9J08_001748,unspecified product
B9J08_001749,haloacid dehalogenase-like hydrolase | domain-containing protein
B9J08_001750,unspecified product
B9J08_001751,unspecified product
B9J08_001752,Peptidase dimerisation domain | Peptidase family M20/M25/M40 | domain-containing protein
B9J08_001753,WKF domain | domain-containing protein
B9J08_001754,TATA-binding protein interacting (TIP20) | domain-containing protein
B9J08_001755,unspecified product
B9J08_001756,"Homoaconitase, mitochondrial, homoaconitate hydratase"
B9J08_001757,Type II CAAX prenyl endopeptidase Rce1-like | domain-containing protein
B9J08_001758,Activator of mitotic machinery Cdc14 phosphatase activation C-term | domain-containing protein
B9J08_001759,Cytochrome b5-like Heme/Steroid binding domain | Fatty acid hydroxylase | domain-containing protein
B9J08_001760,unspecified product
B9J08_001761,orotate phosphoribosyltransferase
B9J08_001762,SRP19 protein | domain-containing protein
B9J08_001763,NuBaID N-terminal domain (aka zf-C3HC) | domain-containing protein
B9J08_001764,"F-box-like | Cell division control protein 4 dimerisation domain | WD domain, G-beta repeat | domain-containing protein"
B9J08_001765,leucine-tRNA ligase
B9J08_001766,RNA recognition motif | Occluded RNA-recognition motif | domain-containing protein
B9J08_001767,unspecified product
B9J08_001768,Regulator of G protein signaling domain | Sorting nexin C terminal | PXA domain | PX domain | domain-containing protein
B9J08_001769,Pre-mRNA-splicing factor Syf1/CRNKL1 C-terminal HAT repeat | S1 RNA binding domain | domain-containing protein
B9J08_001770,BRCA1-associated protein 2 | Zn-finger in ubiquitin-hydrolases and other protein | domain-containing protein
B9J08_001771,haloacid dehalogenase-like hydrolase | domain-containing protein
B9J08_001772,ribose-phosphate diphosphokinase
B9J08_001773,TAFII55 protein conserved region | domain-containing protein
B9J08_001774,Cation transport ATPase (P-type) | P5-type ATPase cation transporter | E1-E2 ATPase | domain-containing protein
B9J08_001775,GPR1/FUN34/yaaH family | domain-containing protein
B9J08_001776,Domain of unknown function (DUF202) | domain-containing protein
B9J08_001777,unspecified product
B9J08_001778,DENN domain-containing protein 11 | Domain of unknown function (DUF4484) | domain-containing protein
B9J08_001779,LsmAD domain | Ataxin 2 SM domain | domain-containing protein
B9J08_001780,Exocyst complex component Sec6 | domain-containing protein
B9J08_001781,unspecified product
B9J08_001782,Saf4/Yju2 protein | domain-containing protein
B9J08_001783,RPN1 N-terminal domain | 26S proteasome non-ATPase regulatory subunit RPN1 C-terminal | Proteasome/cyclosome repeat | domain-containing protein
B9J08_001784,ATP synthase subunit C | domain-containing protein
B9J08_001785,unspecified product
B9J08_001786,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_001787,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_001788,Endomembrane protein 70 | domain-containing protein
B9J08_001789,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_001790,Apg6 coiled-coil region | Apg6 BARA domain | domain-containing protein
B9J08_001791,2OG-Fe(II) oxygenase superfamily | domain-containing protein
B9J08_001792,unspecified product
B9J08_001793,"ALG6, ALG8 glycosyltransferase family | domain-containing protein"
B9J08_001795,Transglutaminase-like superfamily | domain-containing protein
B9J08_001796,RNA helicase
B9J08_001797,tyrosine-tRNA ligase
B9J08_001798,"3'(2'),5'-bisphosphate nucleotidase"
B9J08_001799,FAD dependent oxidoreductase | C-terminal domain of alpha-glycerophosphate oxidase | domain-containing protein
B9J08_001800,UBA-like domain | UBX domain | domain-containing protein
B9J08_001801,Universal stress protein family | domain-containing protein
B9J08_001802,"Zinc finger, C3HC4 type (RING finger) | domain-containing protein"
B9J08_001803,Fibrillarin | domain-containing protein
B9J08_001804,Nucleotide-sugar transporter | domain-containing protein
B9J08_001805,Proteasome maturation factor UMP1 | domain-containing protein
B9J08_001806,GYF domain | domain-containing protein
B9J08_001807,ACT domain | domain-containing protein
B9J08_001808,Vps5 C terminal like | PX domain | domain-containing protein
B9J08_001809,Enoyl-(Acyl carrier protein) reductase | domain-containing protein
B9J08_001810,unspecified product
B9J08_001811,"Calcium channel YVC1-like, C-terminal | TRPY1 N-terminal linker helical domain | domain-containing protein"
B9J08_001812,unspecified product
B9J08_001813,SLIDE | HAND | Helicase conserved C-terminal domain | SNF2-related domain | domain-containing protein
B9J08_001814,Glutathione peroxidase | domain-containing protein
B9J08_001815,unspecified product
B9J08_001816,Chitin synthase export chaperone | domain-containing protein
B9J08_001817,"Fes/CIP4, and EFC/F-BAR homology domain | RhoGAP domain | domain-containing protein"
B9J08_001818,COMPASS (Complex proteins associated with Set1p) component shg1 | domain-containing protein
B9J08_001819,Cullin family | Cullin protein neddylation domain | domain-containing protein
B9J08_001820,Ubiquinol-cytochrome-c reductase complex subunit (QCR10) | domain-containing protein
B9J08_001821,Phosphopantetheine attachment site | domain-containing protein
B9J08_001822,Ribosomal protein S12/S23 | domain-containing protein
B9J08_001823,"Arp2/3 complex, 34 kD subunit p34-Arc | domain-containing protein"
B9J08_001824,mitogen-activated protein kinase kinase
B9J08_001825,"DNA polymerase zeta catalytic subunit, DNA-directed DNA polymerase"
B9J08_001826,Basic region leucine zipper | domain-containing protein
B9J08_001827,pyridoxal kinase
B9J08_001828,Ketopantoate reductase PanE/ApbA C terminal | Ketopantoate reductase PanE/ApbA | domain-containing protein
B9J08_001829,Phosphatidylinositol 3- and 4-kinase | domain-containing protein
B9J08_001830,unspecified product
B9J08_001831,unspecified product
B9J08_001832,Citrate transporter | SPX domain | domain-containing protein
B9J08_001833,"Peptidase family M20/M25/M40 | Peptidase dimerisation domain | WD domain, G-beta repeat | domain-containing protein"
B9J08_001834,Major Facilitator Superfamily | domain-containing protein
B9J08_001835,Di-sulfide bridge nucleocytoplasmic transport domain | domain-containing protein
B9J08_001836,Rix1 complex component involved in 60S ribosome maturation | domain-containing protein
B9J08_001837,Ribosome recycling factor | domain-containing protein
B9J08_001838,"First Longin domain of FUZ, MON1 and HPS1 | Third Longin domain of FUZ, MON1 and HPS1 | Second Longin domain of FUZ, MON1 and HPS1 | domain-containing protein"
B9J08_001839,Regulated-SNARE-like domain | Synaptobrevin | domain-containing protein
B9J08_001840,Telomere attrition and p53 response 1 protein-like | domain-containing protein
B9J08_001841,Nucleotidyl transferase | EIF2B subunit epsilon LbH domain | domain-containing protein
B9J08_001842,ATPase family associated with various cellular activities (AAA) | AAA+ lid domain | Proteasomal ATPase OB C-terminal domain | domain-containing protein
B9J08_001843,Large ribosomal subunit protein uL24m | EF-hand domain pair | domain-containing protein
B9J08_001844,CAP-Gly domain | domain-containing protein
B9J08_001845,Glycosyl transferases group 1 | Glycosyltransferase Family 4 | domain-containing protein
B9J08_001846,"NXF1/2/3/5 leucine-rich repeat domain | Nuclear RNA export factor, NTF2 domain | RNA recognition motif | domain-containing protein"
B9J08_001847,Cytochrome b5-like Heme/Steroid binding domain | domain-containing protein
B9J08_001848,Acetyltransferase (GNAT) family | domain-containing protein
B9J08_001849,DnaJ domain | domain-containing protein
B9J08_001850,"IMP cyclohydrolase, phosphoribosylaminoimidazolecarboxamide formyltransferase"
B9J08_001851,Ribosomal L15 | domain-containing protein
B9J08_001852,unspecified product
B9J08_001853,HIM1 | domain-containing protein
B9J08_001854,unspecified product
B9J08_001855,Tyrosine phosphatase family | domain-containing protein
B9J08_001856,Ctr copper transporter family | domain-containing protein
B9J08_001857,Exocyst complex component Sec8 C-terminal | Exocyst complex component Sec8 N-terminal | domain-containing protein
B9J08_001858,ERCC4 domain | domain-containing protein
B9J08_001859,Nucleotide exchange factor Fes1 | domain-containing protein
B9J08_001860,phosphoglycerate kinase
B9J08_001861,AMP-binding enzyme | AMP-binding enzyme C-terminal domain | domain-containing protein
B9J08_001862,unspecified product
B9J08_001863,Cytochrome oxidase assembly protein | domain-containing protein
B9J08_001864,Eukaryotic membrane protein family | domain-containing protein
B9J08_001865,protein-serine/threonine phosphatase
B9J08_001866,unspecified product
B9J08_001867,unspecified product
B9J08_001868,protein-tyrosine-phosphatase
B9J08_001869,Cofilin/tropomyosin-type actin-binding protein | domain-containing protein
B9J08_001870,Ribosomal S13/S15 N-terminal domain | Ribosomal protein S15 | domain-containing protein
B9J08_001871,Translation initiation factor 1A / IF-1 | domain-containing protein
B9J08_001872,CTD kinase subunit gamma CTK3 C-terminus | CTD kinase subunit gamma CTK3 | domain-containing protein
B9J08_001873,Trehalose-phosphatase | Glycosyltransferase family 20 | domain-containing protein
B9J08_001874,TatD related DNase | domain-containing protein
B9J08_001875,Triosephosphate isomerase | domain-containing protein
B9J08_001876,Histidine phosphatase superfamily (branch 1) | domain-containing protein
B9J08_001877,C-terminal region of eIF3h | JAB1/Mov34/MPN/PAD-1 ubiquitin protease | domain-containing protein
B9J08_001878,lysine-tRNA ligase
B9J08_001879,tRNA (cytidine32/guanosine34-2'-O)-methyltransferase
B9J08_001880,Ribosomal protein S10p/S20e | domain-containing protein
B9J08_001881,Ring finger domain | domain-containing protein
B9J08_001882,unspecified product
B9J08_001883,"FAD linked oxidases, C-terminal domain | FAD binding domain | domain-containing protein"
B9J08_001884,biotin synthase
B9J08_001885,Ribosomal L22e protein family | domain-containing protein
B9J08_001887,5-aminolevulinate synthase
B9J08_001888,Gamma tubulin complex component C-terminal | Gamma tubulin complex component N-terminal | domain-containing protein
B9J08_001889,Mitochondrial carrier protein | domain-containing protein
B9J08_001890,protein-serine/threonine phosphatase
B9J08_001891,NAD dependent epimerase/dehydratase family | domain-containing protein
B9J08_001892,OHCU decarboxylase | domain-containing protein
B9J08_001893,"ATP synthase alpha/beta family, beta-barrel domain | ATPsynthase alpha/beta subunit barrel-sandwich domain | ATP synthase alpha/beta family, nucleotide-binding domain | C-terminal domain of V and A type ATP synthase | domain-containing protein"
B9J08_001894,unspecified product
B9J08_001895,Mitochondrial K+-H+ exchange-related | domain-containing protein
B9J08_001896,unspecified product
B9J08_001897,Cullin family | Cullin protein neddylation domain | domain-containing protein
B9J08_001898,SNF2-related domain | Helicase conserved C-terminal domain | domain-containing protein
B9J08_001899,ABC transporter transmembrane region | ABC transporter | domain-containing protein
B9J08_001900,ALIX V-shaped domain binding to HIV | BRO1-like domain | domain-containing protein
B9J08_001901,chitinase
B9J08_001902,"COPA/B second beta-propeller | Coatomer (COPI) alpha subunit C-terminus | COPA/B TPR domain | WD domain, G-beta repeat | domain-containing protein"
B9J08_001903,protein-serine/threonine phosphatase
B9J08_001904,Centromere protein Scm3 | domain-containing protein
B9J08_001905,AAA+ lid domain | ATPase family associated with various cellular activities (AAA) | Peptidase family M41 | domain-containing protein
B9J08_001906,unspecified product
B9J08_001907,Glycolipid 2-alpha-mannosyltransferase | domain-containing protein
B9J08_001908,Glycolipid 2-alpha-mannosyltransferase | domain-containing protein
B9J08_001909,"Nuclear pore localisation protein NPL4 | NPL4 family, putative zinc binding region | NPL4 family | domain-containing protein"
B9J08_001910,Hsp70 protein | domain-containing protein
B9J08_001911,non-specific serine/threonine protein kinase
B9J08_001912,tRNA carboxymethyluridine synthase
B9J08_001913,MBA1-like protein | domain-containing protein
B9J08_001914,CCCH-type zinc finger | Zinc finger C-x8-C-x5-C-x3-H type (and similar) | domain-containing protein
B9J08_001915,Nucleolar GTP-binding protein 1 (NOG1) | NOGCT (NUC087) domain | NOG1 N-terminal helical domain | domain-containing protein
B9J08_001916,Anp1 | domain-containing protein
B9J08_001917,"Glutathione S-transferase, N-terminal domain | Glutathione S-transferase, C-terminal domain | Elongation factor 1 gamma, conserved domain | domain-containing protein"
B9J08_001918,unspecified product
B9J08_001919,unspecified product
B9J08_001920,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_001921,Flavoprotein | domain-containing protein
B9J08_001922,Ribosomal protein L1p/L10e family | domain-containing protein
B9J08_001923,FtsJ-like methyltransferase | domain-containing protein
B9J08_001924,"WD domain, G-beta repeat | COPA/B TPR domain | COPA/B second beta-propeller | domain-containing protein"
B9J08_001925,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase, GDP-Man:Man3GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase"
B9J08_001926,unspecified product
B9J08_001927,Metallopeptidase family M24 | domain-containing protein
B9J08_001928,MSP (Major sperm protein) domain | domain-containing protein
B9J08_001929,Transmembrane amino acid transporter protein | domain-containing protein
B9J08_001930,Alternative oxidase | domain-containing protein
B9J08_001931,SH3 domain | domain-containing protein
B9J08_001932,unspecified product
B9J08_001933,Protein adenylyltransferase SelO | domain-containing protein
B9J08_001934,Shikimate dehydrogenase substrate binding domain | domain-containing protein
B9J08_001935,Mannosyltransferase putative | domain-containing protein
B9J08_001936,Major Facilitator Superfamily | domain-containing protein
B9J08_001937,Carbon-nitrogen hydrolase | domain-containing protein
B9J08_001938,alpha/beta hydrolase fold | domain-containing protein
B9J08_001939,ATPase family associated with various cellular activities (AAA) | AAA+ lid domain | domain-containing protein
B9J08_001940,Heat shock protein 9/12 | domain-containing protein
B9J08_001941,unspecified product
B9J08_001942,unspecified product
B9J08_001943,"DOP1 C-terminal | Dopey, N-terminal | DOP1 middle TPR domain | domain-containing protein"
B9J08_001944,Phospholipase/Carboxylesterase | domain-containing protein
B9J08_001945,Dihydrouridine synthase (Dus) | domain-containing protein
B9J08_001946,Fungal specific transcription factor domain | domain-containing protein
B9J08_001948,unspecified product
B9J08_001949,unspecified product
B9J08_001950,Acetamidase/Formamidase family | domain-containing protein
B9J08_001951,CFEM domain | domain-containing protein
B9J08_001952,"Permease for cytosine/purines, uracil, thiamine, allantoin | domain-containing protein"
B9J08_001954,unspecified product
B9J08_001955,Caspase domain | domain-containing protein
B9J08_001956,Enoyl-(Acyl carrier protein) reductase | domain-containing protein
B9J08_001957,DnaJ domain | Domain of unknown function (DUF1977) | domain-containing protein
B9J08_001958,Eukaryotic aspartyl protease | domain-containing protein
B9J08_001959,histidine kinase
B9J08_001960,DNA-directed DNA polymerase
B9J08_001961,Mediator complex subunit Med5 | domain-containing protein
B9J08_001962,unspecified product
B9J08_001963,Pex14 N-terminal domain | domain-containing protein
B9J08_001964,Mitochondrial carrier protein | domain-containing protein
B9J08_001965,Prenyltransferase alpha-alpha toroid domain | domain-containing protein
B9J08_001966,4'-phosphopantetheinyl transferase superfamily | domain-containing protein
B9J08_001967,Beta-eliminating lyase | domain-containing protein
B9J08_001968,Aldehyde dehydrogenase family | domain-containing protein
B9J08_001969,F-box-like | domain-containing protein
B9J08_001970,unspecified product
B9J08_001971,Mysoin-binding motif of peroxisomes | domain-containing protein
B9J08_001972,Chromatin-remodeling ATPase INO80
B9J08_001973,Transmembrane proteins 14C | domain-containing protein
B9J08_001974,"Ribosomal protein S3, C-terminal domain | KH domain | domain-containing protein"
B9J08_001975,phosphoribosylformylglycinamidine synthase
B9J08_001976,unspecified product
B9J08_001977,unspecified product
B9J08_001978,unspecified product
B9J08_001979,RNA polymerase Rpb8 | domain-containing protein
B9J08_001980,unspecified product
B9J08_001981,Mannosyltransferase putative | domain-containing protein
B9J08_001984,Sugar (and other) transporter | domain-containing protein
B9J08_001985,Glycosyl hydrolase family 3 C-terminal domain | Fibronectin type III-like domain | Glycosyl hydrolase family 3 N terminal domain | domain-containing protein
B9J08_001986,unspecified product
B9J08_001987,FMN-dependent dehydrogenase | Cytochrome b5-like Heme/Steroid binding domain | domain-containing protein
B9J08_001988,unspecified product
B9J08_001989,UTP--glucose-1-phosphate uridylyltransferase | domain-containing protein
B9J08_001991,nicotinate phosphoribosyltransferase
B9J08_001992,Importin-beta N-terminal domain | domain-containing protein
B9J08_001993,Cytochrome c oxidase assembly protein CtaG/Cox11 | domain-containing protein
B9J08_001994,Protein prenyltransferase alpha subunit repeat | domain-containing protein
B9J08_001995,"Glutathione S-transferase, N-terminal domain | Glutathione S-transferase, C-terminal domain | domain-containing protein"
B9J08_001996,"Taurine catabolism dioxygenase TauD, TfdA family | domain-containing protein"
B9J08_001997,Glycolipid 2-alpha-mannosyltransferase | domain-containing protein
B9J08_001998,OPT oligopeptide transporter protein | domain-containing protein
B9J08_001999,"tRNA synthetases class II (D, K and N) | domain-containing protein"
B9J08_002000,NOP9-like PUF repeat domain | domain-containing protein
B9J08_002001,"Glutathione S-transferase, C-terminal domain | Glutathione S-transferase, N-terminal domain | domain-containing protein"
B9J08_002002,PIN domain of ribonuclease | Nin one binding (NOB1) Zn-ribbon like | domain-containing protein
B9J08_002003,EH domain | domain-containing protein
B9J08_002004,Class II histone deacetylase complex subunits 2 and 3 | domain-containing protein
B9J08_002005,Pyridoxal-dependent decarboxylase conserved domain | domain-containing protein
B9J08_002006,PQ loop repeat | domain-containing protein
B9J08_002007,unspecified product
B9J08_002008,Microtubule associated protein (MAP65/ASE1 family) | domain-containing protein
B9J08_002009,50S ribosome-binding GTPase | domain-containing protein
B9J08_002010,ADP-ribosylation factor family | domain-containing protein
B9J08_002011,Pyridine nucleotide-disulphide oxidoreductase | NAD(P)-binding Rossmann-like domain | domain-containing protein
B9J08_002012,unspecified product
B9J08_002013,Phosphotransferase enzyme family | domain-containing protein
B9J08_002014,"Sedlin, N-terminal conserved region | domain-containing protein"
B9J08_002015,unspecified product
B9J08_002016,Surfeit locus protein 5 subunit 22 of Mediator complex | domain-containing protein
B9J08_002017,unspecified product
B9J08_002018,Thioredoxin | PITH domain | domain-containing protein
B9J08_002019,"LETM1-like, RBD | domain-containing protein"
B9J08_002020,dUTPase | domain-containing protein
B9J08_002021,unspecified product
B9J08_002022,"Chromatin assembly factor 1 subunit Cac1, C-terminal domain | Chromatin assembly factor 1 subunit A dimerization domain | Chromatin assembly factor 1 complex p150 subunit, acidic region | domain-containing protein"
B9J08_002023,Slx4 endonuclease | domain-containing protein
B9J08_002024,[histone H3]-trimethyl-L-lysine9 demethylase
B9J08_002025,Rad17 P-loop domain | domain-containing protein
B9J08_002026,Glutaredoxin | Thioredoxin | domain-containing protein
B9J08_002027,"Zinc finger, C2H2 type | domain-containing protein"
B9J08_002028,unspecified product
B9J08_002029,Domain of unknown function (DUF4149) | domain-containing protein
B9J08_002030,MutS domain II | MutS domain I | MutS domain V | MutS domain III | MutS family domain IV | domain-containing protein
B9J08_002031,unspecified product
B9J08_002032,Nucleotidyl transferase | domain-containing protein
B9J08_002033,unspecified product
B9J08_002034,Ankyrin repeats (3 copies) | DHHC palmitoyltransferase | domain-containing protein
B9J08_002035,Domain of unknown function (DUF4112) | domain-containing protein
B9J08_002036,unspecified product
B9J08_002037,unspecified product
B9J08_002038,FKBP-type peptidyl-prolyl cis-trans isomerase | domain-containing protein
B9J08_002039,Cytidylyltransferase-like | domain-containing protein
B9J08_002040,unspecified product
B9J08_002041,Midasin
B9J08_002042,Protein phosphatase 2C | domain-containing protein
B9J08_002043,"3-phosphoshikimate 1-carboxyvinyltransferase, shikimate kinase"
B9J08_002044,Probable RNA and SrmB- binding site of polymerase A | Poly A polymerase head domain | domain-containing protein
B9J08_002047,Putative GTPase activating protein for Arf | BAR domain of APPL family | PH domain | domain-containing protein
B9J08_002048,CDK-activating kinase assembly factor MAT1 | domain-containing protein
B9J08_002049,unspecified product
B9J08_002050,Kinase binding protein CGI-121 | domain-containing protein
B9J08_002051,XPG N-terminal domain | XPG I-region | domain-containing protein
B9J08_002052,TEA/ATTS domain | domain-containing protein
B9J08_002053,Protein kinase domain | domain-containing protein
B9J08_002054,"RPAP1-like, C-terminal | RPAP1-like, N-terminal | domain-containing protein"
B9J08_002055,unspecified product
B9J08_002056,"ER membrane protein complex subunit 1, C-terminal | domain-containing protein"
B9J08_002057,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_002058,Integral peroxisomal membrane peroxin | domain-containing protein
B9J08_002059,Sir2 family | domain-containing protein
B9J08_002060,non-specific serine/threonine protein kinase
B9J08_002061,PWI domain | domain-containing protein
B9J08_002062,YT521-B-like domain | domain-containing protein
B9J08_002063,Ubiquinone biosynthesis protein COQ7 | domain-containing protein
B9J08_002064,"Nuf2 family | Nuf2, DHR10-like domain | domain-containing protein"
B9J08_002065,Major Facilitator Superfamily | domain-containing protein
B9J08_002066,G protein-coupled glucose receptor regulating Gpa2 | G protein-coupled glucose receptor regulating Gpa2 C-term | domain-containing protein
B9J08_002067,Amino acid permease | domain-containing protein
B9J08_002068,"5'-AMP-activated protein kinase beta subunit, interaction domain | Glycogen recognition site of AMP-activated protein kinase | domain-containing protein"
B9J08_002069,Fungal pheromone mating factor STE2 GPCR | domain-containing protein
B9J08_002070,diphosphoinositol-polyphosphate diphosphatase
B9J08_002071,Altered inheritance of mitochondria protein 19 | domain-containing protein
B9J08_002072,Core histone H2A/H2B/H3/H4 | domain-containing protein
B9J08_002073,Centromere kinetochore component CENP-T histone fold | domain-containing protein
B9J08_002074,Glycolipid 2-alpha-mannosyltransferase | domain-containing protein
B9J08_002075,Sds3-like | domain-containing protein
B9J08_002076,Acetyltransferase (GNAT) family | domain-containing protein
B9J08_002077,H2C2 zinc finger | Acetyltransferase (GNAT) family | domain-containing protein
B9J08_002078,"aspartate carbamoyltransferase, carbamoyl-phosphate synthase (ammonia), carbamoyl-phosphate synthase (glutamine-hydrolysing), glutaminase"
B9J08_002079,Major Facilitator Superfamily | domain-containing protein
B9J08_002080,Cation transport protein | domain-containing protein
B9J08_002081,Brix domain | domain-containing protein
B9J08_002082,unspecified product
B9J08_002083,"Rapamycin-insensitive companion of mTOR, domain 5 | Rapamycin-insensitive companion of mTOR RasGEF_N domain | Rapamycin-insensitive companion of mTOR, middle domain | Rapamycin-insensitive companion of mTOR, N-term | domain-containing protein"
B9J08_002084,unspecified product
B9J08_002085,ASF1 like histone chaperone | domain-containing protein
B9J08_002086,unspecified product
B9J08_002087,Membrane transport protein | domain-containing protein
B9J08_002088,Ras family | domain-containing protein
B9J08_002089,FAD dependent oxidoreductase | domain-containing protein
B9J08_002090,GDA1/CD39 (nucleoside phosphatase) family | domain-containing protein
B9J08_002091,CTLH/CRA C-terminal to LisH motif domain | domain-containing protein
B9J08_002092,rRNA (uridine-N3-)-methyltransferase BTM5-like | domain-containing protein
B9J08_002093,Ubiquitin carboxyl-terminal hydrolase | domain-containing protein
B9J08_002094,RNA recognition motif | domain-containing protein
B9J08_002095,TRM5/TYW2 methyltransferase domain | domain-containing protein
B9J08_002096,"Zinc finger, C2H2 type | domain-containing protein"
B9J08_002097,Omp85 superfamily domain | domain-containing protein
B9J08_002098,DNA/pantothenate metabolism flavoprotein C-terminal domain | domain-containing protein
B9J08_002099,peptidylprolyl isomerase
B9J08_002100,"Cyclin, N-terminal domain | domain-containing protein"
B9J08_002101,TLC domain | domain-containing protein
