VPDB Gene ID,CGD ID,CGD Annotation
B9J08_003198,CAL0000223089,"Uncharacterized ORF; Ortholog(s) have second spliceosomal transesterification activity and role in generation of catalytic spliceosome for second transesterification step, mRNA splicing, via spliceosome"
B9J08_003200,CAL0000227159,"Uncharacterized ORF; Ortholog(s) have RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity, RNA polymerase III type 1 promoter sequence-specific DNA binding activity"
B9J08_003201,CAL0000225503,Uncharacterized ORF; Ortholog(s) have nucleic acid binding activity
B9J08_003202,CAL0000219069,"Uncharacterized ORF; Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and membrane localization"
B9J08_005581,CAL0000224261,"Uncharacterized ORF; Ortholog(s) have 4-alpha-glucanotransferase activity, amylo-alpha-1,6-glucosidase activity and role in glycogen catabolic process"
B9J08_005580,CAL0000226705,"Uncharacterized ORF; Has domain(s) with predicted methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity, oxidoreductase activity, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity"
B9J08_005579,CAL0000222801,Uncharacterized ORF; Has domain(s) with predicted role in regulation of DNA-templated transcription and nucleus localization
B9J08_005578,CAL0000221487,Uncharacterized ORF; Ortholog(s) have xylulokinase activity and role in xylulose catabolic process
B9J08_003204,CAL0000221457,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : MRX12, <i>C. albicans SC5314</i> : C4_05310W_A, <i>C. glabrata CBS138</i> : CAGL0J11110g, <i>C. dubliniensis CD36</i> : Cd36_44970 and <i>C. parapsilosis CDC317</i> : CPAR2_500860"
B9J08_003205,CAL0000220139,"Uncharacterized ORF; Ortholog(s) have mRNA binding, saccharopine dehydrogenase (NAD+, L-lysine-forming) activity and role in lysine biosynthetic process, lysine biosynthetic process via aminoadipic acid, protein import into peroxisome matrix"
B9J08_003206,CAL0000225291,Uncharacterized ORF; Ortholog(s) have protein kinase inhibitor activity
B9J08_003207,CAL0000224281,Uncharacterized ORF; Ortholog(s) have ubiquitin protein ligase activity
B9J08_003208,CAL0000218731,"Uncharacterized ORF; Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-4-phosphate binding, phosphatidylinositol-5-phosphate binding activity"
B9J08_003209,CAL0000217461,"Uncharacterized ORF; Ortholog(s) have mRNA 5'-UTR binding, pre-mRNA intronic binding, translation regulator activity and role in Group I intron splicing, mitochondrial mRNA processing, positive regulation of mitochondrial translation"
B9J08_003210,CAL0000225897,Uncharacterized ORF; Ortholog(s) have mRNA binding activity
B9J08_003211,CAL0000224403,Uncharacterized ORF; Has domain(s) with predicted carbohydrate derivative binding activity and role in carbohydrate derivative metabolic process
B9J08_003212,CAL0000221571,"Uncharacterized ORF; Has domain(s) with predicted GTPase activator activity, role in positive regulation of GTPase activity, regulation of small GTPase mediated signal transduction and nucleus localization"
B9J08_003213,CAL0000219893,"Uncharacterized ORF; Has domain(s) with predicted role in amino acid transport, transmembrane transport and membrane localization"
B9J08_003214,CAL0000219007,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : TDA6, <i>C. albicans SC5314</i> : C4_05440C_A, <i>C. dubliniensis CD36</i> : Cd36_45100, <i>C. parapsilosis CDC317</i> : CPAR2_500960 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113515"
B9J08_003215,CAL0000217449,"Uncharacterized ORF; Ortholog(s) have cytochrome-b5 reductase activity, acting on NAD(P)H activity and role in tRNA wobble uridine modification"
B9J08_003216,CAL0000222679,"Uncharacterized ORF; Ortholog(s) have ferrous iron binding, oxygen sensor activity, peptidyl-proline dioxygenase activity, poly(A) binding, protein sequestering activity"
B9J08_003217,CAL0000224511,"Uncharacterized ORF; Ortholog(s) have aspartate kinase activity and role in homoserine biosynthetic process, methionine biosynthetic process, threonine biosynthetic process"
B9J08_003218,CAL0000225289,"Uncharacterized ORF; Ortholog(s) have role in endocytosis, establishment or maintenance of actin cytoskeleton polarity, vacuole organization and Golgi membrane localization"
B9J08_003219,CAL0000227055,"Uncharacterized ORF; Ortholog(s) have aromatic-amino-acid:2-oxoglutarate aminotransferase activity, kynurenine aminotransferase activity and role in L-phenylalanine biosynthetic process, aromatic amino acid metabolic process, tyrosine biosynthetic process"
B9J08_003220,CAL0000223061,Uncharacterized ORF; Ortholog(s) have structural constituent of cytoskeleton activity
B9J08_003223,CAL0000217861,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C4_05580C_A, <i>C. dubliniensis CD36</i> : Cd36_45180, <i>C. parapsilosis CDC317</i> : CPAR2_500500 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113522"
B9J08_003224,CAL0000227457,"Uncharacterized ORF; Ortholog(s) have hydroxymethylglutaryl-CoA reductase (NADPH) activity and role in ergosterol biosynthetic process, isopentenyl diphosphate biosynthetic process, mevalonate pathway"
B9J08_003225,CAL0000217475,"Uncharacterized ORF; Ortholog(s) have cystathionine gamma-synthase activity and role in sulfur compound metabolic process, transsulfuration"
B9J08_003226,CAL0000223509,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_03750W_A, <i>C. dubliniensis CD36</i> : Cd36_03490, <i>C. parapsilosis CDC317</i> : CPAR2_110350 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_96872"
B9J08_003227,CAL0000224887,"Uncharacterized ORF; Ortholog(s) have DNA-binding transcription factor activity, sequence-specific DNA binding activity, role in positive regulation of transcription by RNA polymerase II and nucleus localization"
B9J08_003228,CAL0000219243,"Uncharacterized ORF; Ortholog(s) have mannosyl-oligosaccharide 1,2-alpha-mannosidase activity and role in protein deglycosylation involved in glycoprotein catabolic process, ubiquitin-dependent ERAD pathway, ubiquitin-dependent glycoprotein ERAD pathway"
B9J08_003229,CAL0000221301,"Uncharacterized ORF; Ortholog(s) have DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity and RNA polymerase II-specific, <a href=""#GOsection"">more</a>"
B9J08_003230,CAL0000217875,Uncharacterized ORF; Ortholog(s) have role in establishment of cell polarity
B9J08_003231,CAL0000219499,Uncharacterized ORF; Ortholog(s) have role in carnitine metabolic process and mitochondrion localization
B9J08_003232,CAL0000223665,"Uncharacterized ORF; Ortholog(s) have glutathione hydrolase activity, role in glutathione catabolic process, xenobiotic metabolic process and fungal-type vacuole localization"
B9J08_003233,CAL0000225087,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_00540C_A, <i>C. dubliniensis CD36</i> : Cd36_00470, <i>C. parapsilosis CDC317</i> : CPAR2_110480 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_109229"
B9J08_003234,CAL0000226437,"Uncharacterized ORF; Ortholog(s) have Hsp70 protein binding, Hsp90 protein binding, ribosome binding activity, role in protein folding, protein refolding and cytoplasm localization"
B9J08_003235,CAL0000227737,"Uncharacterized ORF; Ortholog(s) have protein kinase activator activity and role in chromosome segregation, regulation of cytokinesis, septin cytoskeleton organization"
B9J08_003236,CAL0000216699,"Uncharacterized ORF; Ortholog of <i>Debaryomyces hansenii CBS767</i> : DEHA2D09020g, <i>Candida guilliermondii ATCC 6260</i> : PGUG_04727 and <i>Candida lusitaniae ATCC 42720</i> : CLUG_04477"
B9J08_003237,CAL0000218291,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_00580W_A, <i>C. dubliniensis CD36</i> : Cd36_00510, <i>C. parapsilosis CDC317</i> : CPAR2_110420 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115299"
B9J08_003238,CAL0000219575,"Uncharacterized ORF; Ortholog(s) have GTPase activity, translation elongation factor activity, role in mitochondrial translation, mitochondrial translational elongation and mitochondrion localization"
B9J08_003239,CAL0000220699,"Uncharacterized ORF; Ortholog(s) have molecular adaptor activity, proteasome binding, ubiquitin protein ligase activity"
B9J08_003240,CAL0000220191,Uncharacterized ORF; Ortholog(s) have phosphatidylserine decarboxylase activity
B9J08_003241,CAL0000221917,Uncharacterized ORF; Ortholog(s) have protein kinase activator activity
B9J08_003242,CAL0000222927,"Uncharacterized ORF; Ortholog(s) have DNA primase activity, DNA-directed 5'-3' RNA polymerase activity, mitochondrial promoter sequence-specific DNA binding activity"
B9J08_003243,CAL0000226009,"Uncharacterized ORF; Ortholog(s) have role in ATP export, ESCRT III complex assembly, intralumenal vesicle formation and late endosome to vacuole transport, <a href=""#GOsection"">more</a>"
B9J08_003244,CAL0000225513,Uncharacterized ORF; Ortholog(s) have SNAP receptor activity
B9J08_003245,CAL0000227127,"Uncharacterized ORF; Ortholog(s) have GTPase activity, structural constituent of cytoskeleton activity"
B9J08_003246,CAL0000218733,Uncharacterized ORF; Has domain(s) with predicted mitochondrial respiratory chain complex I localization
B9J08_003247,CAL0000220039,"Uncharacterized ORF; Ortholog(s) have guanyl-nucleotide exchange factor activity and role in intracellular protein transport, retrograde transport, endosome to Golgi"
B9J08_003248,CAL0000220747,"Uncharacterized ORF; Ortholog(s) have role in maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), translational initiation"
B9J08_003249,CAL0000223649,Uncharacterized ORF; Ortholog(s) have cytosolic large ribosomal subunit localization
B9J08_003250,CAL0000220429,"Uncharacterized ORF; Ortholog(s) have protein kinase activator activity, structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit localization"
B9J08_003251,CAL0000221557,"Uncharacterized ORF; Putative glucan endo-1,6-beta-glucosidase; may be involved in cell wall biosynthesis; downregulated in a strain adapted to amphotericin B"
B9J08_003252,CAL0000223123,"Uncharacterized ORF; Ortholog(s) have hercynylcysteine sulfoxide lyase activity (ergothioneine-forming), hercynylselenocysteine lyase activity (selenoneine-forming) activity and role in ergothioneine biosynthetic process, selenoneine biosynthetic process"
B9J08_003253,CAL0000224489,"Uncharacterized ORF; Ortholog(s) have role in intracellular monoatomic ion homeostasis, mitochondrion inheritance, mitochondrion organization, regulation of cardiolipin metabolic process and mitochondrial inner membrane, mitochondrion localization"
B9J08_003254,CAL0000225705,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_02950W_A, <i>C. dubliniensis CD36</i> : Cd36_02750, <i>C. parapsilosis CDC317</i> : CPAR2_106015 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_107500"
B9J08_003255,CAL0000227003,Uncharacterized ORF; Has domain(s) with predicted role in chromatin remodeling and Ino80 complex localization
B9J08_003256,CAL0000222337,"Uncharacterized ORF; Ortholog(s) have threonine-tRNA ligase activity, role in mitochondrial threonyl-tRNA aminoacylation and mitochondrion localization"
B9J08_003257,CAL0000224173,"Uncharacterized ORF; Ortholog(s) have RNA polymerase II C-terminal domain phosphoserine binding, RNA polymerase II complex binding, chromatin binding activity"
B9J08_003258,CAL0000227919,"Uncharacterized ORF; Ortholog(s) have SNARE binding, molecular adaptor activity, protein kinase activator activity"
B9J08_003259,CAL0000226997,"Uncharacterized ORF; Ortholog(s) have RNA helicase activity, role in generation of catalytic spliceosome for first transesterification step, spliceosomal complex disassembly and U2-type post-mRNA release spliceosomal complex localization"
B9J08_003260,CAL0000219959,Uncharacterized ORF; Protein of unknown function
B9J08_003261,CAL0000224559,"Uncharacterized ORF; Ortholog(s) have 2 iron, 2 sulfur cluster binding, oxidoreductase activity, protein disulfide isomerase activity, thiol oxidase activity and role in protein folding, protein import into mitochondrial intermembrane space"
B9J08_003262,CAL0000222277,"Uncharacterized ORF; Has domain(s) with predicted GTP binding, GTPase activity"
B9J08_003263,CAL0000226927,"Uncharacterized ORF; Ortholog(s) have SNAP receptor activity, palmitoyltransferase activity"
B9J08_003264,CAL0000225481,"Uncharacterized ORF; Ortholog(s) have RNA binding, flap-structured DNA binding activity and role in nuclear-transcribed mRNA catabolic process, nuclear-transcribed mRNA poly(A) tail shortening, positive regulation of DNA metabolic process"
B9J08_003265,CAL0000217579,"Verified ORF; Putative 3',5'-cyclic-AMP phosphodiesterase involved in cAMP catabolism and negative regulation of cAMP-mediated RAS signaling; null mutant is sensitive to heat stress and nutrient limitation, and shows decreased virulence in mice"
B9J08_003266,CAL0000221431,Uncharacterized ORF; Protein of unknown function
B9J08_003267,CAL0000220183,Uncharacterized ORF; Ortholog(s) have D-xylulose reductase activity
B9J08_003268,CAL0000224091,Uncharacterized ORF; Has domain(s) with predicted oxidoreductase activity
B9J08_003269,CAL0000222327,"Uncharacterized ORF; Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in DNA-templated transcription, regulation of DNA-templated transcription"
B9J08_003270,CAL0000226891,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_02830W_A, <i>C. dubliniensis CD36</i> : Cd36_02630, <i>C. parapsilosis CDC317</i> : CPAR2_108390 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115724"
B9J08_003271,CAL0000225187,"Uncharacterized ORF; Ortholog(s) have L-aminoadipate-semialdehyde dehydrogenase activity and role in lysine biosynthetic process, lysine biosynthetic process via aminoadipic acid"
B9J08_003272,CAL0000222695,"Uncharacterized ORF; Ortholog(s) have ATP-dependent activity, acting on DNA, damaged DNA binding, ubiquitin-protein transferase activity"
B9J08_003273,CAL0000220871,"Uncharacterized ORF; Ortholog(s) have role in endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), rRNA export from nucleus"
B9J08_003274,CAL0000219929,Uncharacterized ORF; Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
B9J08_003275,CAL0000218161,"Uncharacterized ORF; Ortholog(s) have serine-type carboxypeptidase activity, role in apoptotic process and trans-Golgi network localization"
B9J08_003276,CAL0000227937,"Uncharacterized ORF; Ortholog(s) have glycogen phosphorylase activity, role in glycogen catabolic process and cytoplasm localization"
B9J08_003277,CAL0000226293,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C7_00920C_A, <i>C. dubliniensis CD36</i> : Cd36_70850, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00183 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F22462g"
B9J08_003278,CAL0000225049,"Uncharacterized ORF; Ortholog(s) have DNA replication origin binding, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity and RNA polymerase II-specific, <a href=""#GOsection"">more</a>"
B9J08_003279,CAL0000223511,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C7_00880C_A, <i>C. dubliniensis CD36</i> : Cd36_70820, <i>C. parapsilosis CDC317</i> : CPAR2_301430 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_132919"
B9J08_003280,CAL0000221045,Uncharacterized ORF; Ortholog(s) have RNA polymerase II-specific DNA-binding transcription factor binding activity
B9J08_003281,CAL0000221611,"Uncharacterized ORF; Ortholog(s) have protein kinase activity, protein serine/threonine kinase activity"
B9J08_003282,CAL0000224463,Uncharacterized ORF; Ortholog(s) have 3'-5'-RNA exonuclease activity
B9J08_003283,CAL0000225651,Uncharacterized ORF; Protein of unknown function
B9J08_003284,CAL0000227969,Uncharacterized ORF; Ortholog(s) have role in protein targeting to mitochondrion
B9J08_003285,CAL0000216349,"Uncharacterized ORF; Ortholog(s) have long-chain fatty acyl-CoA binding activity, role in very long-chain fatty acid biosynthetic process and extracellular region, nucleus localization"
B9J08_003286,CAL0000218363,Uncharacterized ORF; Ortholog of <i>Candida lusitaniae ATCC 42720</i> : CLUG_04429
B9J08_003287,CAL0000220443,"Uncharacterized ORF; Ortholog(s) have RNA binding, RNA polymerase II C-terminal domain phosphoserine binding, bubble DNA binding, single-stranded DNA binding activity"
B9J08_003288,CAL0000222727,Uncharacterized ORF; Ortholog(s) have structural constituent of ribosome activity
B9J08_003289,CAL0000223201,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C7_04090C_A, <i>C. dubliniensis CD36</i> : Cd36_73760, <i>C. parapsilosis CDC317</i> : CPAR2_702300 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112414"
B9J08_003290,CAL0000220799,"Uncharacterized ORF; Ortholog(s) have glutamine-tRNA ligase activity, sequence-specific mRNA binding activity, role in glutaminyl-tRNA aminoacylation and cytosol, mitochondrion localization"
B9J08_003291,CAL0000219223,"Uncharacterized ORF; Ortholog(s) have heat shock protein binding, protein phosphatase regulator activity and role in glycogen metabolic process, meiotic cell cycle, mitotic spindle assembly checkpoint signaling, response to heat"
B9J08_003292,CAL0000219269,"Uncharacterized ORF; Ortholog(s) have carbonyl reductase (NADPH) activity, diacetyl reductase ((S)-acetoin forming) activity, oxidoreductase activity, serine 3-dehydrogenase activity and role in acetoin metabolic process"
B9J08_003293,CAL0000224939,"Uncharacterized ORF; Ortholog(s) have tRNA binding, tRNA-uracil-34 sulfurtransferase activity and role in protein urmylation, tRNA wobble position uridine thiolation, tRNA wobble uridine modification"
B9J08_003294,CAL0000223601,"Uncharacterized ORF; Ortholog(s) have translation initiation factor activity, translation initiation factor binding activity and role in translational initiation"
B9J08_003295,CAL0000227525,"Uncharacterized ORF; Ortholog(s) have role in SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, cellular response to methylmercury and SCF ubiquitin ligase complex localization"
B9J08_003296,CAL0000220913,Uncharacterized ORF; Ortholog(s) have glycylpeptide N-tetradecanoyltransferase activity and cytosol localization
B9J08_003297,CAL0000216677,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C4_01430C_A, <i>C. dubliniensis CD36</i> : Cd36_41440, <i>C. parapsilosis CDC317</i> : CPAR2_401030 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_109036"
B9J08_003298,CAL0000224245,Uncharacterized ORF; Ortholog(s) have role in rRNA processing
B9J08_003299,CAL0000219469,"Uncharacterized ORF; Ortholog(s) have protein-macromolecule adaptor activity, role in ascospore wall assembly, endocytosis, reticulophagy and actin cytoskeleton-regulatory complex localization"
B9J08_003300,CAL0000221079,"Uncharacterized ORF; Has domain(s) with predicted NADH dehydrogenase (ubiquinone) activity, oxidoreductase activity, acting on NAD(P)H activity"
B9J08_003301,CAL0000225211,"Uncharacterized ORF; Has domain(s) with predicted DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of DNA-templated transcription"
B9J08_003302,CAL0000226089,"Uncharacterized ORF; Ortholog(s) have ubiquitin-protein transferase activity and role in nuclear protein quality control by the ubiquitin-proteasome system, response to misfolded protein, ubiquitin-dependent protein catabolic process"
B9J08_003303,CAL0000227945,"Uncharacterized ORF; Ortholog(s) have tRNA methyltransferase activity and role in tRNA methylation, wybutosine biosynthetic process"
B9J08_003304,CAL0000216141,"Uncharacterized ORF; Ortholog(s) have role in Golgi to plasma membrane protein transport, response to endoplasmic reticulum stress, vesicle-mediated transport and Golgi apparatus, cytosol localization"
B9J08_003305,CAL0000218219,"Verified ORF; Putative guanyl-nucleotide exchange factor and activator of the Ras/adenylyl cyclase pathway; null mutant grows slowly and is sensitive to fluconazole, posaconazole, caspofungin, amphotericin B, peroxide, SDS, and diamide"
B9J08_003306,CAL0000219517,"Uncharacterized ORF; Has domain(s) with predicted NAD binding, NADP binding, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity and role in glucose metabolic process"
B9J08_003307,CAL0000223269,"Uncharacterized ORF; Ortholog(s) have protein carrier activity and role in intracellular protein transport, protein retention in Golgi apparatus, retrograde transport, endosome to Golgi"
B9J08_003308,CAL0000224713,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C3_01340W_A, <i>C. dubliniensis CD36</i> : Cd36_81270, <i>C. parapsilosis CDC317</i> : CPAR2_502880 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_101483"
B9J08_003309,CAL0000226145,"Uncharacterized ORF; Ortholog(s) have orotidine-5'-phosphate decarboxylase activity, role in 'de novo' UMP biosynthetic process, 'de novo' pyrimidine nucleobase biosynthetic process, UMP biosynthetic process and cytosol, protein aggregate center localization"
B9J08_003310,CAL0000224109,Uncharacterized ORF; Ortholog(s) have guanyl-nucleotide exchange factor activity
B9J08_003311,CAL0000226915,Uncharacterized ORF; Has domain(s) with predicted role in biosynthetic process
B9J08_003312,CAL0000225255,"Uncharacterized ORF; Ortholog(s) have peptidyl-prolyl cis-trans isomerase activity, unfolded protein binding activity, role in protein refolding and cytosol localization"
B9J08_003313,CAL0000218983,Uncharacterized ORF; Ortholog(s) have cytosolic large ribosomal subunit localization
B9J08_003314,CAL0000217265,"Uncharacterized ORF; Ortholog(s) have sterol binding activity, role in fatty acid transport, sterol transport and extracellular region localization"
B9J08_003315,CAL0000223077,Uncharacterized ORF; Ortholog(s) have role in cellular response to misfolded protein
B9J08_003316,CAL0000221793,Uncharacterized ORF; Ortholog(s) have role in vesicle-mediated transport and Golgi membrane localization
B9J08_003317,CAL0000226545,Uncharacterized ORF; Protein of unknown function
B9J08_003318,CAL0000223803,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C1_14180W_A, <i>C. dubliniensis CD36</i> : Cd36_13150, <i>C. parapsilosis CDC317</i> : CPAR2_700610 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_135418"
B9J08_003319,CAL0000217755,Uncharacterized ORF; Ortholog(s) have ubiquitin protein ligase activity and role in histone catabolic process
B9J08_003320,CAL0000219459,"Uncharacterized ORF; Ortholog(s) have protein-lysine N-methyltransferase activity, role in peptidyl-lysine monomethylation and cytosol, nucleus localization"
B9J08_003321,CAL0000222449,"Uncharacterized ORF; Ortholog(s) have protein domain specific binding activity, role in protein import into mitochondrial matrix and PAM complex, Tim23 associated import motor, TIM23 mitochondrial import inner membrane translocase complex localization"
B9J08_003322,CAL0000227867,"Uncharacterized ORF; Ortholog(s) have methylated histone binding activity, role in negative regulation of meiotic nuclear division, protein methylation, regulation of DNA-templated transcription and Set3 complex localization"
B9J08_003323,CAL0000226527,"Uncharacterized ORF; Ortholog(s) have ABC-type xenobiotic transporter activity, role in xenobiotic transport and plasma membrane localization"
B9J08_003324,CAL0000218457,"Uncharacterized ORF; Ortholog(s) have CTP-dependent diacylglycerol kinase activity and role in mitotic nuclear membrane biogenesis, phosphatidic acid biosynthetic process, regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway"
B9J08_003325,CAL0000216571,Uncharacterized ORF; Protein of unknown function
B9J08_003326,CAL0000219909,"Uncharacterized ORF; Has domain(s) with predicted ATP binding, ATP-dependent FeS chaperone activity, iron-sulfur cluster binding activity and role in iron-sulfur cluster assembly"
B9J08_003327,CAL0000219203,Uncharacterized ORF; Ortholog(s) have role in mitochondrial tRNA wobble uridine modification and mitochondrial inner membrane localization
B9J08_003328,CAL0000224483,"Uncharacterized ORF; Ortholog(s) have lysine-acetylated histone binding activity, role in chromatin remodeling, nucleosome disassembly, transcription elongation by RNA polymerase II and RSC-type complex localization"
B9J08_003329,CAL0000226925,"Uncharacterized ORF; Ortholog(s) have oxidoreductase activity, acting on NAD(P)H activity, role in iron-sulfur cluster assembly, nitric oxide biosynthetic process, positive regulation of nitric oxide biosynthetic process and mitochondrion localization"
B9J08_003330,CAL0000228143,"Uncharacterized ORF; Ortholog(s) have phenylalanine-tRNA ligase activity, role in mitochondrial phenylalanyl-tRNA aminoacylation and mitochondrion localization"
B9J08_003331,CAL0000218277,"Uncharacterized ORF; Ortholog(s) have structural constituent of ribosome activity, role in mitochondrial translation and mitochondrial large ribosomal subunit localization"
B9J08_003332,CAL0000218481,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C2_01040W_A, <i>C. dubliniensis CD36</i> : Cd36_15960, <i>C. parapsilosis CDC317</i> : CPAR2_212830 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_111632"
B9J08_003333,CAL0000220805,Uncharacterized ORF; Protein of unknown function
B9J08_003334,CAL0000219479,Uncharacterized ORF; Protein of unknown function
B9J08_003335,CAL0000225175,"Uncharacterized ORF; Ortholog(s) have role in ATP export, intralumenal vesicle formation, late endosome to vacuole transport, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
B9J08_003336,CAL0000222249,Uncharacterized ORF; Has domain(s) with predicted membrane localization
B9J08_003337,CAL0000227443,Uncharacterized ORF; Protein of unknown function
B9J08_003338,CAL0000226351,"Uncharacterized ORF; Ortholog(s) have DNA clamp loader activity and role in DNA strand elongation involved in DNA replication, UV-damage excision repair, leading strand elongation, sister chromatid cohesion"
B9J08_003339,CAL0000217823,"Uncharacterized ORF; Ortholog(s) have L-methionine-(S)-S-oxide reductase activity, peptide-methionine (S)-S-oxide reductase activity, role in L-methionine salvage from methionine sulphoxide, cellular response to oxidative stress and cytoplasm localization"
B9J08_003340,CAL0000216309,"Uncharacterized ORF; Ortholog(s) have cysteine-type deubiquitinase activity, metal-dependent deubiquitinase activity and role in endocytosis, free ubiquitin chain depolymerization, protein K11-linked deubiquitination, protein K48-linked deubiquitination"
B9J08_003341,CAL0000226361,"Uncharacterized ORF; Has domain(s) with predicted metal ion transmembrane transporter activity, zinc ion transmembrane transporter activity, role in metal ion transport, transmembrane transport, zinc ion transmembrane transport and membrane localization"
B9J08_003342,CAL0000224121,"Uncharacterized ORF; Ortholog of <i>S. cerevisiae</i> : YOR289W, <i>C. albicans SC5314</i> : C2_00770W_A, <i>C. glabrata CBS138</i> : CAGL0M04763g, <i>C. dubliniensis CD36</i> : Cd36_15710 and <i>C. parapsilosis CDC317</i> : CPAR2_212960"
B9J08_003343,CAL0000222997,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C2_00860C_A, <i>C. dubliniensis CD36</i> : Cd36_15800, <i>Debaryomyces hansenii CBS767</i> : DEHA2F00660g and <i>Pichia stipitis Pignal</i> : PICST_29338"
B9J08_003344,CAL0000221953,"Uncharacterized ORF; Has domain(s) with predicted role in cellular response to amino acid stimulus, cholesterol homeostasis, endosomal transport, lysosome organization and positive regulation of MAPK cascade, <a href=""#GOsection"">more</a>"
B9J08_003345,CAL0000218583,"Uncharacterized ORF; Ortholog(s) have role in ergosterol biosynthetic process, intracellular iron ion homeostasis, mitochondrion organization"
B9J08_003346,CAL0000216915,"Uncharacterized ORF; Ortholog(s) have role in negative regulation of gluconeogenesis, proteasome-mediated ubiquitin-dependent protein catabolic process, traversing start control point of mitotic cell cycle and GID complex localization"
B9J08_003347,CAL0000216465,"Uncharacterized ORF; Ortholog(s) have Glc3Man9GlcNAc2 oligosaccharide glucosidase activity and role in N-glycan processing, fungal-type cell wall beta-glucan biosynthetic process, fungal-type cell wall biogenesis, protein N-linked glycosylation"
B9J08_003348,CAL0000227245,"Uncharacterized ORF; Ortholog(s) have RNA polymerase I general transcription initiation factor binding, RNA polymerase I transcription regulatory region sequence-specific DNA binding activity and role in nucleolar large rRNA transcription by RNA polymerase I"
B9J08_003349,CAL0000224263,Uncharacterized ORF; Ortholog(s) have tryptophan synthase activity and role in tryptophan biosynthetic process
B9J08_003350,CAL0000227685,"Uncharacterized ORF; Ortholog of <i>C. albicans SC5314</i> : C4_06050W_A/MED3, <i>C. dubliniensis CD36</i> : Cd36_45600, <i>C. parapsilosis CDC317</i> : CPAR2_501440 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_121899"
